TEMP_CH1,ECG_CH2,Freq,Channels,File,t,EDA_CH3,Task
34064,30368,1000,2,0,36360.0,,
31820,33940,1000,2,0,36420.0,,
31812,31884,1000,2,0,36480.0,,
33920,34256,1000,2,0,36540.0,,
34340,64200,1000,2,0,36600.0,,
34756,22820,1000,2,0,36660.0,,
34772,33004,1000,2,0,36720.0,,
34852,32517,1000,2,0,36780.0,,
33504,32528,1000,2,0,36840.0,,
33584,31178,1000,2,0,36900.0,,
34612,33452,1000,2,0,36960.0,,
34796,32380,1000,2,0,37020.0,,
34860,31592,1000,2,0,37080.0,,
34784,30852,1000,2,0,37140.0,,
34720,32168,1000,2,0,37200.0,,
34170,31880,1000,2,0,37260.0,,
34564,31764,1000,2,0,37320.0,,
34508,44068,1000,2,0,37380.0,,
34424,27792,1000,2,0,37440.0,,
34385,33704,1000,2,0,37500.0,,
34196,33536,1000,2,0,37560.0,,
32656,32812,1000,2,0,37620.0,,
32916,31172,1000,2,0,37680.0,,
31472,31684,1000,2,0,37740.0,,
30928,31944,1000,2,0,37800.0,,
30276,33028,1000,2,0,37860.0,,
30160,33092,1000,2,0,37920.0,,
30172,33436,1000,2,0,37980.0,,
30120,30376,1000,2,0,38040.0,,
32532,31798,1000,2,0,38100.0,,
30122,30480,1000,2,0,38160.0,,
29868,32500,1000,2,0,38220.0,,
30064,30444,1000,2,0,38280.0,,blankScreen_00
29968,32556,1000,2,0,38340.0,,blankScreen_00
35458,31234,1000,2,0,38400.0,,blankScreen_00
32034,27600,1000,2,0,38460.0,,BP_00
29508,42916,1000,2,0,38520.0,,BP_00
29772,33440,1000,2,0,38580.0,,
29584,31100,1000,2,0,38640.0,,
29232,34272,1000,2,0,38700.0,,
29412,32384,1000,2,0,38760.0,,
29396,32544,1000,2,0,38820.0,,Saliva_00
31460,30708,1000,2,0,38880.0,,Exposure
29440,30324,1000,2,0,38940.0,,Exposure
29528,33116,1000,2,0,39000.0,,passiveViewing_01
29468,32148,1000,2,0,39060.0,,passiveViewing_01
29506,32880,1000,2,0,39120.0,,passiveViewing_01
29538,31784,1000,2,0,39180.0,,passiveViewing_01
29680,33792,1000,2,0,39240.0,,passiveViewing_01
29800,30332,1000,2,0,39300.0,,passiveViewing_01
29568,32448,1000,2,0,39360.0,,passiveViewing_01
29600,56320,1000,2,0,39420.0,,passiveViewing_01
30228,32768,1000,2,0,39480.0,,passiveViewing_01
30194,34976,1000,2,0,39540.0,,passiveViewing_01
30204,31868,1000,2,0,39600.0,,passiveViewing_01
30532,32344,1000,2,0,39660.0,,passiveViewing_01
30594,31060,1000,2,0,39720.0,,passiveViewing_01
31240,31470,1000,2,0,39780.0,,passiveViewing_01
30608,32632,1000,2,0,39840.0,,passiveViewing_01
30096,33128,1000,2,0,39900.0,,blankScreen_01
30732,62792,1000,2,0,39960.0,,blankScreen_01
30272,40384,1000,2,0,40020.0,,blankScreen_01
29808,32270,1000,2,0,40080.0,,BP_01
29716,16974,1000,2,0,40140.0,,BP_01
29784,32312,1000,2,0,40200.0,,
29552,32696,1000,2,0,40260.0,,
29996,26372,1000,2,0,40320.0,,
29568,32172,1000,2,0,40380.0,,
29776,32506,1000,2,0,40440.0,,
29716,32164,1000,2,0,40500.0,,
29722,33132,1000,2,0,40560.0,,
29840,32548,1000,2,0,40620.0,,
30160,32700,1000,2,0,40680.0,,
30084,31966,1000,2,0,40740.0,,
30592,32368,1000,2,0,40800.0,,
30794,31020,1000,2,0,40860.0,,
31076,30342,1000,2,0,40920.0,,
29084,32464,1000,2,0,40980.0,,
31164,18792,1000,2,0,41040.0,,blankScreen_02
36052,33216,1000,2,0,41100.0,,blankScreen_02
33284,27496,1000,2,0,41160.0,,blankScreen_02
32660,30120,1000,2,0,41220.0,,BP_02
32256,30338,1000,2,0,41280.0,,BP_02
32944,31960,1000,2,0,41340.0,,
32384,31376,1000,2,0,41400.0,,
32264,30144,1000,2,0,41460.0,,
33088,32688,1000,2,0,41520.0,,
31860,32048,1000,2,0,41580.0,,
31352,32732,1000,2,0,41640.0,,
31528,31434,1000,2,0,41700.0,,
31520,32932,1000,2,0,41760.0,,
31784,33196,1000,2,0,41820.0,,
33064,33246,1000,2,0,41880.0,,
32716,33184,1000,2,0,41940.0,,
32600,32672,1000,2,0,42000.0,,
32648,30736,1000,2,0,42060.0,,
32060,25800,1000,2,0,42120.0,,
31792,33108,1000,2,0,42180.0,,
31844,17169,1000,2,0,42240.0,,
32104,32824,1000,2,0,42300.0,,
33076,29940,1000,2,0,42360.0,,
32540,32868,1000,2,0,42420.0,,
32764,33460,1000,2,0,42480.0,,
33596,32060,1000,2,0,42540.0,,
32760,33044,1000,2,0,42600.0,,
32960,33160,1000,2,0,42660.0,,
33400,32952,1000,2,0,42720.0,,
33556,32804,1000,2,0,42780.0,,
32792,29912,1000,2,0,42840.0,,blankScreen_03
33080,32416,1000,2,0,42900.0,,blankScreen_03
33596,63744,1000,2,0,42960.0,,blankScreen_03
33072,31944,1000,2,0,43020.0,,BP_03
33096,31900,1000,2,0,43080.0,,BP_03
33980,33336,1000,2,0,43140.0,,
33960,33152,1000,2,0,43200.0,,
33988,31356,1000,2,0,43260.0,,
33422,31740,1000,2,0,43320.0,,
32552,30376,1000,2,0,43380.0,,
34860,32236,1000,3,1,43680.0,4164.0,blankScreen_04
34508,29240,1000,3,1,43740.0,4964.0,blankScreen_04
34078,30263,1000,3,1,43800.0,4980.0,blankScreen_04
33804,32106,1000,3,1,43860.0,4942.0,BP_04
34098,32860,1000,3,1,43920.0,5364.0,BP_04
33264,32158,1000,3,1,43980.0,5453.0,
31906,30736,1000,3,1,44040.0,5636.0,
33082,20614,1000,3,1,44100.0,4937.0,
33972,26084,1000,3,1,44160.0,5586.0,
33480,34984,1000,3,1,44220.0,6741.0,Exercise
32768,32933,1000,3,1,44280.0,6372.0,Exercise
34156,31260,1000,3,1,44340.0,7394.0,Exercise
33796,35098,1000,3,1,44400.0,7612.0,Exercise
33900,30340,1000,3,1,44460.0,8085.0,Exercise
33416,33144,1000,3,1,44520.0,7346.0,BP_05
33652,32720,1000,3,1,44580.0,7548.0,blankScreen_05
33384,32815,1000,3,1,44640.0,6597.0,blankScreen_05
32812,33476,1000,3,1,44700.0,6527.0,blankScreen_05
