TEMP_CH1,ECG_CH2,Freq,Channels,File,t,EDA_CH3,Task
34852,33096,1000,2,0,45600.0,,
35212,32376,1000,2,0,45660.0,,
34848,34548,1000,2,0,45720.0,,
35130,32724,1000,2,0,45780.0,,
35232,31048,1000,2,0,45840.0,,
35212,32804,1000,2,0,45900.0,,
35216,32776,1000,2,0,45960.0,,
35248,32528,1000,2,0,46020.0,,
35288,30708,1000,2,0,46080.0,,
35296,33102,1000,2,0,46140.0,,
35276,32732,1000,2,0,46200.0,,
35212,31872,1000,2,0,46260.0,,
35188,32908,1000,2,0,46320.0,,
35188,32176,1000,2,0,46380.0,,
35200,32576,1000,2,0,46440.0,,
35180,32656,1000,2,0,46500.0,,
35200,32708,1000,2,0,46560.0,,
35200,32848,1000,2,0,46620.0,,blankScreen_00
35104,30668,1000,2,0,46680.0,,blankScreen_00
35112,31900,1000,2,0,46740.0,,blankScreen_00
35128,32072,1000,2,0,46800.0,,BP_00
35072,32596,1000,2,0,46860.0,,BP_00
35020,36684,1000,2,0,46920.0,,
35100,32848,1000,2,0,46980.0,,
35112,32908,1000,2,0,47040.0,,
35144,31956,1000,2,0,47100.0,,
35144,32464,1000,2,0,47160.0,,
35120,33112,1000,2,0,47220.0,,
35116,32616,1000,2,0,47280.0,,
35128,32904,1000,2,0,47340.0,,
35136,32104,1000,2,0,47400.0,,
35048,32736,1000,2,0,47460.0,,
34944,32378,1000,2,0,47520.0,,Exposure
35004,32696,1000,2,0,47580.0,,Exposure
34980,33136,1000,2,0,47640.0,,Exposure
34996,33120,1000,2,0,47700.0,,passiveViewing_01
35012,32288,1000,2,0,47760.0,,passiveViewing_01
35056,33568,1000,2,0,47820.0,,passiveViewing_01
35116,34188,1000,2,0,47880.0,,passiveViewing_01
35120,33272,1000,2,0,47940.0,,passiveViewing_01
35096,33252,1000,2,0,48000.0,,passiveViewing_01
35120,26394,1000,2,0,48060.0,,passiveViewing_01
35108,31336,1000,2,0,48120.0,,passiveViewing_01
35104,32060,1000,2,0,48180.0,,passiveViewing_01
35092,32740,1000,2,0,48240.0,,passiveViewing_01
35088,31828,1000,2,0,48300.0,,passiveViewing_01
35104,33312,1000,2,0,48360.0,,passiveViewing_01
35088,33184,1000,2,0,48420.0,,passiveViewing_01
35088,32676,1000,2,0,48480.0,,passiveViewing_01
35068,33452,1000,2,0,48540.0,,passiveViewing_01
35104,32188,1000,2,0,48600.0,,passiveViewing_01
