TEMP_CH2,ECG_CH3,Freq,Channels,File,t,EDA_CH4,Task
34728,32552,1000,2,0,40020.0,,
34456,34472,1000,2,0,40080.0,,
34952,32188,1000,2,0,40140.0,,
35444,30116,1000,2,0,40200.0,,
35752,32932,1000,2,0,40260.0,,
35836,32432,1000,2,0,40320.0,,
35936,27488,1000,2,0,40380.0,,
35712,31904,1000,2,0,40440.0,,
35300,32304,1000,2,0,40500.0,,
34964,30388,1000,2,0,40560.0,,
34640,33640,1000,2,0,40620.0,,
34576,26660,1000,2,0,40680.0,,
34616,32368,1000,2,0,40740.0,,
34352,36836,1000,2,0,40800.0,,
34408,32176,1000,2,0,40860.0,,
34504,30980,1000,2,0,40920.0,,
34480,32680,1000,2,0,40980.0,,
34604,22820,1000,2,0,41040.0,,
34704,32780,1000,2,0,41100.0,,
34770,39964,1000,2,0,41160.0,,
34632,36712,1000,2,0,41220.0,,
34586,32404,1000,2,0,41280.0,,
34692,32984,1000,2,0,41340.0,,
34640,27712,1000,2,0,41400.0,,
34672,53088,1000,2,0,41460.0,,
34772,32398,1000,2,0,41520.0,,
34632,32920,1000,2,0,41580.0,,
34488,32330,1000,2,0,41640.0,,
34476,34392,1000,2,0,41700.0,,
34768,34812,1000,2,0,41760.0,,
34936,32476,1000,2,0,41820.0,,
34868,33200,1000,2,0,41880.0,,
34948,32928,1000,2,0,41940.0,,
34964,31578,1000,2,0,42000.0,,
34796,38492,1000,2,0,42060.0,,
34752,63456,1000,2,0,42120.0,,
34656,32936,1000,2,0,42180.0,,
34552,29176,1000,2,0,42240.0,,
34856,33308,1000,2,0,42300.0,,
34536,27616,1000,2,0,42360.0,,
34828,28580,1000,2,0,42420.0,,
34728,33844,1000,2,0,42480.0,,
34884,32638,1000,2,0,42540.0,,
34856,29072,1000,2,0,42600.0,,
34756,29568,1000,2,0,42660.0,,
34672,34250,1000,2,0,42720.0,,
34532,31988,1000,2,0,42780.0,,blankScreen_00
34488,31296,1000,2,0,42840.0,,blankScreen_00
34320,23532,1000,2,0,42900.0,,blankScreen_00
34188,34476,1000,2,0,42960.0,,BP_00
34068,28864,1000,2,0,43020.0,,
34728,33252,1000,2,0,43080.0,,
34560,29032,1000,2,0,43140.0,,
34600,30124,1000,2,0,43200.0,,Exposure
35194,30670,1000,2,0,43260.0,,Exposure
34864,31076,1000,2,0,43320.0,,
35132,27298,1000,2,0,43380.0,,passiveViewing_01
34808,31784,1000,2,0,43440.0,,passiveViewing_01
34840,30360,1000,2,0,43500.0,,passiveViewing_01
34636,31888,1000,2,0,43560.0,,passiveViewing_01
34480,29852,1000,2,0,43620.0,,passiveViewing_01
34384,32648,1000,2,0,43680.0,,passiveViewing_01
34580,23496,1000,2,0,43740.0,,passiveViewing_01
35120,34900,1000,2,0,43800.0,,passiveViewing_01
35072,32540,1000,2,0,43860.0,,passiveViewing_01
35164,32424,1000,2,0,43920.0,,passiveViewing_01
35244,32620,1000,2,0,43980.0,,passiveViewing_01
34960,32416,1000,2,0,44040.0,,passiveViewing_01
34730,26784,1000,2,0,44100.0,,passiveViewing_01
34716,31696,1000,2,0,44160.0,,passiveViewing_01
34528,32928,1000,2,0,44220.0,,passiveViewing_01
34548,54484,1000,2,0,44280.0,,blankScreen_01
34436,32960,1000,2,0,44340.0,,blankScreen_01
34528,32488,1000,2,0,44400.0,,blankScreen_01
34416,30192,1000,2,0,44460.0,,BP_01
34504,21824,1000,2,0,44520.0,,
34544,32268,1000,2,0,44580.0,,
34512,62496,1000,2,0,44640.0,,
34416,33112,1000,2,0,44700.0,,
34280,21220,1000,2,0,44760.0,,
34336,33612,1000,2,0,44820.0,,
34102,35832,1000,2,0,44880.0,,
