Participant,Version,Date,Session,OpenSignalsData,Complete,Status,Channels,Overflow,Duration,PsychoPy,PsychoPyComplete,Errors
104G,1.1,2025-5-30,,1.0,1.0,98.20415879017014,2.0,0.0,8698.281000000003,1.0,0.0,
104H,1.1,2025-6-6,,1.0,1.0,97.54157628344178,2.191216072718005,0.0,7651.473000000005,1.0,0.0,
104I,1.1,2025-6-13,,1.0,1.0,100.0,3.0,1.0,10014.835,1.0,0.0,
105G,0.0,2025-6-17,,1.0,1.0,97.09406830437388,2.195394395922804,0.0,9947.068000000008,1.0,0.0,DNF: blankScreen_00 in Version 2025-06-17_14h08.36.574
105H,1.1,2025-6-23,,1.0,1.0,97.02216066481996,2.179493940921427,0.0,7675.504999999997,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
105I,1.1,2025-6-27,,1.0,1.0,100.0,3.0,0.0,8725.486000000004,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
106G,1.1,2025-6-17,,1.0,1.0,99.15651358950328,2.176958629711944,0.0,9581.633000000002,1.0,0.0,
106H,1.1,2025-6-23,,1.0,1.0,95.84764283484232,2.1829672750859013,0.0,8251.326000000001,1.0,0.0,
106I,1.1,2025-6-27,,1.0,1.0,100.0,3.0,0.0,9288.301,1.0,0.0,
107G,1.1,2025-5-30,,1.0,1.0,97.16892104435355,2.0,0.0,9152.735999999995,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
107H,1.1,2025-6-3,,1.0,1.0,97.12854757929884,2.181093969710845,0.0,8122.179000000004,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
107I,1.1,2025-6-10,,1.0,1.0,100.0,3.0,1.0,10343.944000000003,1.0,0.0,
108G,1.1,2025-5-28,,1.0,1.0,99.08443540183112,2.191507784900896,0.0,7334.645000000004,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
108H,1.1,2025-6-4,,1.0,1.0,97.22792607802874,2.177820632333796,0.0,6979.160000000004,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
108I,1.1,2025-6-11,,1.0,1.0,100.0,3.0,1.0,12269.295999999997,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
109G,1.1,2025-5-29,,1.0,1.0,98.90403635391608,2.2149722739926307,0.0,9564.664000000004,1.0,0.0,DNF: blankScreen_00 in Version 2025-05-29_09h59.40.456;DNF: blankScreen_00 in Version 2025-05-29_10h06.16.695;DNF: blankScreen_00 in Version 2025-05-29_10h11.00.510;DNF: blankScreen_00 in Version 2025-05-29_10h11.54.183;DNF: blankScreen_01 in Version 2025-05-29_09h59.40.456;DNF: blankScreen_01 in Version 2025-05-29_10h06.16.695;DNF: blankScreen_01 in Version 2025-05-29_10h11.00.510;DNF: blankScreen_01 in Version 2025-05-29_10h11.54.183;DNF: blankScreen_02 in Version 2025-05-29_09h59.40.456;DNF: blankScreen_02 in Version 2025-05-29_10h06.16.695;DNF: blankScreen_02 in Version 2025-05-29_10h11.00.510;DNF: blankScreen_02 in Version 2025-05-29_10h11.54.183
109H,1.1,2025-6-5,,1.0,1.0,97.7925718290119,2.229840973444449,0.0,8658.488999999994,1.0,0.0,DNF: blankScreen_00 in Version 2025-06-05_09h54.36.895;DNF: blankScreen_01 in Version 2025-06-05_09h54.36.895;DNF: blankScreen_02 in Version 2025-06-05_09h54.36.895;DNF: blankScreen_03 in Version 2025-06-05_09h54.36.895
109I,1.1,2025-6-12,,1.0,1.0,100.0,3.0,0.0,9638.430999999997,1.0,0.0,
111G,1.1,2025-5-28,,1.0,1.0,99.20477137176938,2.194561139737909,1.0,14480.791999999994,1.0,0.0,
111H,1.1,2025-6-4,,1.0,1.0,98.19112627986348,2.1867385164880804,0.0,7223.398000000001,1.0,0.0,
111I,1.1,2025-6-11,,1.0,1.0,100.0,3.0,0.0,9114.047,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
112G,1.1,2025-5-28,,1.0,1.0,98.44216108717268,2.175047881304839,0.0,8915.273000000001,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
112H,1.1,2025-6-4,,1.0,1.0,98.57142857142858,2.179361061957077,0.0,8350.166000000005,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
112I,1.1,2025-6-11,,1.0,1.0,100.0,3.0,0.0,9254.316,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
113G,1.1,2025-6-13,,1.0,1.0,97.47038104386807,2.165741260712311,0.0,9295.378000000004,1.0,0.0,
113H,1.1,2025-6-20,,1.0,1.0,97.23688295560386,2.1735028003556707,0.0,8544.984000000004,1.0,0.0,
113I,1.1,2025-6-25,,1.0,1.0,100.0,2.0,0.0,9821.563000000002,1.0,0.0,
114G,1.1,2025-6-17,,1.0,1.0,98.57331571994716,2.2496490839591647,0.0,9018.536999999997,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
114H,1.1,2025-6-23,,1.0,1.0,97.74229074889868,2.238107937354938,0.0,8260.697,1.0,0.0,
114I,1.1,2025-6-27,,1.0,1.0,100.0,3.0,0.0,8479.754,1.0,0.0,
115G,1.1,2025-5-29,,1.0,1.0,98.29974811083125,2.191234262934989,0.0,8619.855000000003,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
115H,1.1,2025-6-5,,1.0,1.0,98.11965811965813,2.2244174989455403,0.0,8319.424999999996,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
115I,1.1,2025-6-12,,1.0,1.0,100.0,3.0,0.0,9935.597999999998,1.0,0.0,DNF: blankScreen_00 in Version 2025-06-12_11h32.03.486;DNF: blankScreen_01 in Version 2025-06-12_11h32.03.486;DNF: blankScreen_02 in Version 2025-06-12_11h32.03.486;DNF: blankScreen_03 in Version 2025-06-12_11h32.03.486;DNF: blankScreen_04 in Version 2025-06-12_11h32.03.486
116G,1.1,2025-5-29,,1.0,1.0,97.71886559802712,2.1917228854490776,0.0,7681.298000000002,1.0,0.0,
116H,1.1,2025-6-5,,1.0,1.0,98.17457683372054,2.176371812034992,0.0,7780.510000000002,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
116I,1.1,2025-6-12,,1.0,1.0,100.0,3.0,0.0,8703.309999999998,1.0,0.0,
118G,1.1,2025-5-28,,1.0,1.0,98.42004903296105,2.2443513570502938,0.0,8626.539000000004,1.0,0.0,
118H,1.1,2025-6-4,,1.0,1.0,98.0,2.24717306749796,0.0,7594.272000000004,1.0,0.0,
118I,1.1,2025-6-11,,1.0,1.0,100.0,3.0,0.0,8393.482000000004,1.0,0.0,
119G,1.1,2025-5-26,,1.0,1.0,99.0138067061144,2.182149724121567,0.0,8648.010000000002,1.0,0.0,
119H,1.1,2025-6-2,,1.0,1.0,98.3974358974359,2.1921841056700964,0.0,8531.229,1.0,0.0,
119I,1.1,2025-6-9,,1.0,1.0,100.0,3.0,1.0,10724.222999999998,1.0,0.0,DNF: blankScreen_00 in Version 2025-06-09_12h56.44.599;DNF: blankScreen_01 in Version 2025-06-09_12h56.44.599;DNF: blankScreen_02 in Version 2025-06-09_12h56.44.599;DNF: blankScreen_03 in Version 2025-06-09_12h56.44.599;DNF: blankScreen_04 in Version 2025-06-09_12h56.44.599
122G,1.1,2025-5-30,,1.0,1.0,100.0,2.311756579245837,0.0,9654.523999999998,1.0,0.0,DNF: blankScreen_00 in Version 2025-05-30_16h43.08.689;DNF: blankScreen_00 in Version 2025-05-30_17h04.15.037;DNF: blankScreen_01 in Version 2025-05-30_16h43.08.689;DNF: blankScreen_01 in Version 2025-05-30_17h04.15.037;DNF: blankScreen_02 in Version 2025-05-30_16h43.08.689;DNF: blankScreen_02 in Version 2025-05-30_17h04.15.037;DNF: blankScreen_03 in Version 2025-05-30_16h43.08.689;DNF: blankScreen_03 in Version 2025-05-30_17h04.15.037;DNF: blankScreen_04 in Version 2025-05-30_17h04.15.037
122H,1.1,2025-6-5,,1.0,1.0,98.00865800865802,2.2671412642818725,0.0,7623.298000000002,1.0,0.0,
122I,1.1,2025-6-9,,1.0,1.0,100.0,3.0,0.0,9926.309,1.0,0.0,DNF: passiveViewing_01 in Version 2025-06-09_09h13.42.296
123G,1.1,2025-5-27,,1.0,1.0,98.6088379705401,2.289875335899079,0.0,9224.866999999998,1.0,0.0,
123H,1.1,2025-6-6,,1.0,1.0,98.16635663034812,2.242317955220425,0.0,8331.341,1.0,0.0,
123I,1.1,2025-6-9,,1.0,1.0,100.0,3.0,0.0,9558.786,1.0,0.0,
124G,1.1,2025-5-29,,1.0,1.0,98.0365605958023,2.475433028639121,1.0,14492.341999999995,1.0,0.0,DNF: blankScreen_00 in Version 2025-05-29_11h40.13.585;DNF: blankScreen_01 in Version 2025-05-29_11h40.13.585;DNF: blankScreen_02 in Version 2025-05-29_11h40.13.585;DNF: blankScreen_03 in Version 2025-05-29_11h40.13.585;DNF: blankScreen_04 in Version 2025-05-29_11h40.13.585
124H,1.1,2025-6-5,,1.0,1.0,95.89778076664425,2.162449263897939,0.0,7947.741000000002,1.0,0.0,
124I,1.1,2025-6-12,,1.0,1.0,100.0,3.0,0.0,9752.188999999998,1.0,0.0,
125G,1.1,2025-5-29,,1.0,1.0,98.1,2.0,0.0,8826.823000000004,1.0,0.0,DNF: blankScreen_00 in Version 2025-05-29_12h40.21.696;DNF: blankScreen_00 in Version 2025-05-29_13h50.35.227;DNF: passiveViewing_01 in Version 2025-05-29_12h16.40.333;DNF: blankScreen_01 in Version 2025-05-29_13h50.35.227;DNF: blankScreen_02 in Version 2025-05-29_13h50.35.227;DNF: blankScreen_03 in Version 2025-05-29_13h50.35.227
125H,1.1,2025-6-5,,1.0,1.0,99.20508744038156,2.198646774288361,1.0,17147.467999999993,1.0,0.0,
125I,1.1,2025-6-12,,1.0,1.0,100.0,3.0,0.0,9766.398,1.0,0.0,
127G,1.1,2025-5-29,,1.0,1.0,98.4034833091437,2.229979484658026,0.0,8196.303,1.0,0.0,
127H,1.1,2025-6-5,,1.0,1.0,99.07157831686132,2.2301190563249045,0.0,8040.561999999998,1.0,0.0,
127I,1.1,2025-6-12,,1.0,1.0,100.0,3.0,0.0,9255.638,1.0,0.0,
128G,1.1,2025-5-30,,1.0,1.0,95.52791743847578,2.232981143239544,0.0,8747.736000000004,1.0,0.0,
128H,1.1,2025-6-6,,1.0,1.0,98.6449864498645,2.229119079316938,0.0,8815.365999999995,1.0,0.0,
128I,1.1,2025-6-13,,1.0,1.0,95.6944297082228,3.0,1.0,10058.832999999991,1.0,0.0,
