TEMP_CH3,ECG_CH4,Freq,Channels,File,t,EDA_CH5,Task
37847,31291,1000,2,1,32520.0,,
37935,33817,1000,2,1,32580.0,,
37931,33515,1000,2,1,32640.0,,
37939,31239,1000,2,1,32700.0,,
37947,30245,1000,2,1,32760.0,,
37939,34439,1000,2,1,32820.0,,
37923,32455,1000,2,1,32880.0,,
37919,33225,1000,2,1,32940.0,,
37895,32327,1000,2,1,33000.0,,
37867,32288,1000,2,1,33060.0,,
37851,30523,1000,2,1,33120.0,,
37865,31155,1000,2,1,33180.0,,
37851,30231,1000,2,1,33240.0,,
37855,30179,1000,2,1,33300.0,,
37843,32331,1000,2,1,33360.0,,
37831,32354,1000,2,1,33420.0,,
37823,30207,1000,2,1,33480.0,,
37819,33191,1000,2,1,33540.0,,
37811,29299,1000,2,1,33600.0,,
37795,33187,1000,2,1,33660.0,,
37795,33441,1000,2,1,33720.0,,
37793,33234,1000,2,1,33780.0,,
37771,35897,1000,2,1,33840.0,,blankScreen_00
37779,32715,1000,2,1,33900.0,,blankScreen_00
37763,32399,1000,2,1,33960.0,,blankScreen_00
37737,32915,1000,2,1,34020.0,,BP_00
37715,30723,1000,2,1,34080.0,,
37711,29081,1000,2,1,34140.0,,
37687,30650,1000,2,1,34200.0,,Exposure
37647,32699,1000,2,1,34260.0,,Exposure
37657,34905,1000,2,1,34320.0,,passiveViewing_01
37619,33391,1000,2,1,34380.0,,passiveViewing_01
37623,34497,1000,2,1,34440.0,,passiveViewing_01
37643,29139,1000,2,1,34500.0,,passiveViewing_01
37635,32263,1000,2,1,34560.0,,passiveViewing_01
37639,49635,1000,2,1,34620.0,,passiveViewing_01
37635,31083,1000,2,1,34680.0,,passiveViewing_01
34703,34011,1000,2,1,34740.0,,passiveViewing_01
36971,41651,1000,2,1,34800.0,,passiveViewing_01
36811,37513,1000,2,1,34860.0,,passiveViewing_01
36631,32809,1000,2,1,34920.0,,passiveViewing_01
36579,31457,1000,2,1,34980.0,,passiveViewing_01
36591,32575,1000,2,1,35040.0,,passiveViewing_01
36519,33183,1000,2,1,35100.0,,passiveViewing_01
36503,29455,1000,2,1,35160.0,,
36511,29533,1000,2,1,35220.0,,blankScreen_01
36623,32841,1000,2,1,35280.0,,blankScreen_01
36687,32659,1000,2,1,35340.0,,blankScreen_01
36759,32789,1000,2,1,35400.0,,BP_01
36683,29983,1000,2,1,35460.0,,
36635,33707,1000,2,1,35520.0,,
36723,33155,1000,2,1,35580.0,,
36723,34383,1000,2,1,35640.0,,
36743,34343,1000,2,1,35700.0,,
36783,32519,1000,2,1,35760.0,,
36743,32811,1000,2,1,35820.0,,
36731,33339,1000,2,1,35880.0,,
36759,34735,1000,2,1,35940.0,,
36783,32851,1000,2,1,36000.0,,
36691,33179,1000,2,1,36060.0,,
36775,32583,1000,2,1,36120.0,,
36631,33175,1000,2,1,36180.0,,
36519,33209,1000,2,1,36240.0,,
36545,33709,1000,2,1,36300.0,,blankScreen_02
36386,33187,1000,2,1,36360.0,,blankScreen_02
36479,32779,1000,2,1,36420.0,,blankScreen_02
36474,34338,1000,2,1,36480.0,,
36603,32803,1000,2,1,36540.0,,BP_02
36543,32987,1000,2,1,36600.0,,
36583,37295,1000,2,1,36660.0,,
36579,32833,1000,2,1,36720.0,,
36573,31887,1000,2,1,36780.0,,
36143,29897,1000,2,1,36840.0,,
35319,32743,1000,2,1,36900.0,,
35535,45315,1000,2,1,36960.0,,
36874,22163,1000,2,1,37020.0,,
36487,21187,1000,2,1,37080.0,,
36983,31403,1000,2,1,37140.0,,
36343,33185,1000,2,1,37200.0,,
36319,34042,1000,2,1,37260.0,,
36223,44053,1000,2,1,37320.0,,
36107,29771,1000,2,1,37380.0,,
36053,33391,1000,2,1,37440.0,,
36211,32195,1000,2,1,37500.0,,
36578,32995,1000,2,1,37560.0,,
36615,32251,1000,2,1,37620.0,,
36618,33239,1000,2,1,37680.0,,
36667,33674,1000,2,1,37740.0,,
36699,32950,1000,2,1,37800.0,,
36579,30597,1000,2,1,37860.0,,
36601,33331,1000,2,1,37920.0,,
36555,33045,1000,2,1,37980.0,,
36361,29738,1000,2,1,38040.0,,
36027,33739,1000,2,1,38100.0,,
36051,31159,1000,2,1,38160.0,,
35913,33449,1000,2,1,38220.0,,blankScreen_03
36111,32975,1000,2,1,38280.0,,blankScreen_03
36051,33677,1000,2,1,38340.0,,blankScreen_03
36162,33015,1000,2,1,38400.0,,BP_03
36299,31275,1000,2,1,38460.0,,
36295,33375,1000,2,1,38520.0,,
36303,32040,1000,2,1,38580.0,,
36115,30399,1000,2,1,38640.0,,
36175,32853,1000,2,1,38700.0,,
36247,33679,1000,2,1,38760.0,,
36299,34079,1000,2,1,38820.0,,
35767,30587,1000,3,2,38940.0,1761.0,blankScreen_04
35702,33107,1000,3,2,39000.0,1258.0,blankScreen_04
35769,30177,1000,3,2,39060.0,1481.0,BP_04
35675,31323,1000,3,2,39120.0,1925.0,
35731,33727,1000,3,2,39180.0,2112.0,
35911,30097,1000,3,2,39240.0,2143.0,
35907,33091,1000,3,2,39300.0,2255.0,
35887,30369,1000,3,2,39360.0,1847.0,
37931,33099,1000,3,2,39420.0,2246.0,Exercise
38321,32895,1000,3,2,39480.0,2440.0,Exercise
38295,27451,1000,3,2,39540.0,2630.0,Exercise
37651,30177,1000,3,2,39600.0,2815.0,Exercise
37041,30919,1000,3,2,39660.0,2329.0,Exercise
37479,32359,1000,3,2,39720.0,2327.0,BP_05
37583,33355,1000,3,2,39780.0,2185.0,blankScreen_05
37625,33163,1000,3,2,39840.0,2040.0,blankScreen_05
37659,35063,1000,3,2,39900.0,2132.0,blankScreen_05
36659,34315,1000,3,2,39960.0,1866.0,BP_06
36443,33739,1000,3,2,40020.0,1990.0,
36451,33333,1000,3,2,40080.0,1941.0,
36451,31191,1000,3,2,40140.0,1897.0,
36495,32723,1000,3,2,40200.0,1824.0,
36439,31007,1000,3,2,40260.0,1955.0,
36417,31263,1000,3,2,40320.0,2055.0,
36147,30223,1000,3,2,40380.0,2169.0,
