TEMP_CH1,ECG_CH2,Freq,Channels,File,t,EDA_CH1,CUSTOM/0.5/1.0/V_CH2,CUSTOM/0.5/1.0/V_CH3,Task
35520.0,34812.0,1000,2,0,53100.0,,,,
35576.0,37554.0,1000,2,0,53160.0,,,,
35588.0,29660.0,1000,2,0,53220.0,,,,
35569.0,31178.0,1000,2,0,53280.0,,,,
,,1000,3,1,53460.0,35520.0,36036.0,3314.0,blankScreen_04
,,1000,3,1,53520.0,35592.0,37344.0,3954.0,blankScreen_04
,,1000,3,1,53580.0,35448.0,30548.0,4961.0,BP_04
,,1000,3,1,53640.0,35456.0,30132.0,5440.0,
,,1000,3,1,53700.0,35528.0,31102.0,6014.0,
,,1000,3,1,53760.0,35564.0,31734.0,5614.0,
,,1000,3,1,53820.0,35620.0,31649.0,5534.0,
,,1000,3,1,53880.0,34744.0,26728.0,6178.0,Exercise
,,1000,3,1,53940.0,34644.0,35980.0,7060.0,Exercise
,,1000,3,1,54000.0,34536.0,26972.0,7115.0,Exercise
,,1000,3,1,54060.0,34520.0,30892.0,7474.0,Exercise
,,1000,3,1,54120.0,34416.0,31560.0,7108.0,Exercise
,,1000,3,1,54180.0,34512.0,40636.0,8262.0,Exercise
,,1000,3,1,54240.0,34352.0,28673.0,7383.0,Exercise
,,1000,3,1,54300.0,34380.0,27192.0,7894.0,Exercise
,,1000,3,1,54360.0,34400.0,50752.0,8084.0,Exercise
,,1000,3,1,54420.0,34680.0,41072.0,7383.0,BP_05
,,1000,3,1,54480.0,34836.0,32160.0,6709.0,BP_05
,,1000,3,1,54540.0,34972.0,25698.0,6302.0,blankScreen_05
,,1000,3,1,54600.0,34972.0,30814.0,5160.0,blankScreen_05
,,1000,3,1,54660.0,35028.0,31390.0,5859.0,blankScreen_05
,,1000,3,1,54720.0,34988.0,38596.0,6028.0,BP_06
,,1000,3,1,54780.0,35002.0,30188.0,4341.0,
,,1000,3,1,54840.0,35040.0,38844.0,3973.0,
,,1000,3,1,54900.0,35077.0,35388.0,3640.0,
,,1000,3,1,54960.0,35062.0,25480.0,4683.0,
,,1000,3,1,55020.0,35044.0,36910.0,5762.0,
,,1000,3,1,55080.0,0.0,0.0,0.0,
,,1000,3,1,55140.0,0.0,0.0,0.0,
,,1000,3,1,55200.0,0.0,0.0,0.0,
