ECG_CH2,TEMP_CH4,Freq,Channels,File,t,EDA_CH3,Task
31832,36688,1000,2,0,48060.0,,
32590,36640,1000,2,0,48120.0,,
34426,36676,1000,2,0,48180.0,,
25572,36488,1000,2,0,48240.0,,
32576,36912,1000,2,0,48300.0,,
32408,36684,1000,2,0,48360.0,,
33188,36524,1000,2,0,48420.0,,
31584,36292,1000,2,0,48480.0,,
31524,36208,1000,2,0,48540.0,,
33148,36264,1000,2,0,48600.0,,
33768,36232,1000,2,0,48660.0,,
32564,36264,1000,2,0,48720.0,,
32808,36188,1000,2,0,48780.0,,
32968,36148,1000,2,0,48840.0,,
32360,36128,1000,2,0,48900.0,,
32804,36244,1000,2,0,48960.0,,
50092,36068,1000,2,0,49020.0,,
32288,36086,1000,2,0,49080.0,,
34072,36192,1000,2,0,49140.0,,
31668,36084,1000,2,0,49200.0,,
31656,36040,1000,2,0,49260.0,,blankScreen_00
32774,36060,1000,2,0,49320.0,,blankScreen_00
29380,36174,1000,2,0,49380.0,,blankScreen_00
31884,36258,1000,2,0,49440.0,,BP_00
32124,36124,1000,2,0,49500.0,,BP_00
30980,36012,1000,2,0,49560.0,,
29328,36124,1000,2,0,49620.0,,
32720,35972,1000,2,0,49680.0,,
33056,36068,1000,2,0,49740.0,,
34760,36084,1000,2,0,49800.0,,
32404,36092,1000,2,0,49860.0,,
33100,36176,1000,2,0,49920.0,,
32728,36000,1000,2,0,49980.0,,Exposure
32664,36184,1000,2,0,50040.0,,Exposure
30688,35952,1000,2,0,50100.0,,passiveViewing_01
32046,36092,1000,2,0,50160.0,,passiveViewing_01
32976,35936,1000,2,0,50220.0,,passiveViewing_01
32832,36096,1000,2,0,50280.0,,passiveViewing_01
32504,36108,1000,2,0,50340.0,,passiveViewing_01
29452,36088,1000,2,0,50400.0,,passiveViewing_01
32360,35960,1000,2,0,50460.0,,passiveViewing_01
32840,36056,1000,2,0,50520.0,,passiveViewing_01
32124,36120,1000,2,0,50580.0,,passiveViewing_01
32200,36100,1000,2,0,50640.0,,passiveViewing_01
32804,36132,1000,2,0,50700.0,,passiveViewing_01
33940,36028,1000,2,0,50760.0,,passiveViewing_01
35117,35940,1000,2,0,50820.0,,passiveViewing_01
32800,36116,1000,2,0,50880.0,,passiveViewing_01
32704,36016,1000,2,0,50940.0,,passiveViewing_01
33500,36044,1000,2,0,51000.0,,blankScreen_01
32816,35988,1000,2,0,51060.0,,blankScreen_01
31748,35948,1000,2,0,51120.0,,blankScreen_01
29588,35932,1000,2,0,51180.0,,BP_01
28590,36008,1000,2,0,51240.0,,BP_01
37296,35848,1000,2,0,51300.0,,
32448,35828,1000,2,0,51360.0,,
32800,35846,1000,2,0,51420.0,,
33952,35856,1000,2,0,51480.0,,
41764,35944,1000,2,0,51540.0,,
32794,35980,1000,2,0,51600.0,,
29836,35893,1000,2,0,51660.0,,
32264,35868,1000,2,0,51720.0,,
31172,36036,1000,2,0,51780.0,,
31922,35852,1000,2,0,51840.0,,
31924,35902,1000,2,0,51900.0,,
32872,35828,1000,2,0,51960.0,,
32076,35984,1000,2,0,52020.0,,
31972,35976,1000,2,0,52080.0,,
32508,35876,1000,2,0,52140.0,,blankScreen_02
31992,35886,1000,2,0,52200.0,,blankScreen_02
31156,35976,1000,2,0,52260.0,,blankScreen_02
24648,35868,1000,2,0,52320.0,,BP_02
32832,35840,1000,2,0,52380.0,,BP_02
33672,35852,1000,2,0,52440.0,,
33400,35768,1000,2,0,52500.0,,
32516,35700,1000,2,0,52560.0,,
33210,35872,1000,2,0,52620.0,,
32720,35784,1000,2,0,52680.0,,
33388,35760,1000,2,0,52740.0,,
30804,35920,1000,2,0,52800.0,,
32672,35876,1000,2,0,52860.0,,
32440,35896,1000,2,0,52920.0,,
34616,35792,1000,2,0,52980.0,,
31396,35836,1000,2,0,53040.0,,
32460,35832,1000,2,0,53100.0,,
37498,35586,1000,2,0,53160.0,,
32920,35768,1000,2,0,53220.0,,
32660,35696,1000,2,0,53280.0,,
54264,35580,1000,2,0,53340.0,,
32748,35816,1000,2,0,53400.0,,
31840,35812,1000,2,0,53460.0,,
29620,35684,1000,2,0,53520.0,,
28904,35800,1000,2,0,53580.0,,
32808,35752,1000,2,0,53640.0,,
32608,35992,1000,2,0,53700.0,,
32408,35824,1000,2,0,53760.0,,blankScreen_03
32852,35856,1000,2,0,53820.0,,blankScreen_03
31793,35960,1000,2,0,53880.0,,blankScreen_03
34062,35700,1000,2,0,53940.0,,BP_03
30528,35656,1000,2,0,54000.0,,
31136,35920,1000,2,0,54060.0,,
32572,35792,1000,2,0,54120.0,,
31824,35704,1000,2,0,54180.0,,
32272,35820,1000,2,0,54240.0,,
32628,35846,1000,2,0,54300.0,,
33556,35736,1000,2,0,54360.0,,
32176,35626,1000,3,2,54660.0,43.0,BP_04
33052,35476,1000,3,2,54720.0,43.0,BP_04
32112,35488,1000,3,2,54780.0,44.0,
32804,35756,1000,3,2,54840.0,44.0,
33216,35644,1000,3,2,54900.0,43.0,
25848,35540,1000,3,2,54960.0,44.0,
46288,34228,1000,3,2,55020.0,42.0,
32706,34404,1000,3,2,55080.0,44.0,
29349,35080,1000,3,2,55140.0,44.0,
28520,34772,1000,3,2,55200.0,44.0,Exercise
33872,34888,1000,3,2,55260.0,45.0,Exercise
42380,34712,1000,3,2,55320.0,43.0,Exercise
29072,34692,1000,3,2,55380.0,44.0,Exercise
19580,34752,1000,3,2,55440.0,43.0,Exercise
30924,34592,1000,3,2,55500.0,44.0,Exercise
20405,34596,1000,3,2,55560.0,44.0,Exercise
29328,34380,1000,3,2,55620.0,45.0,Exercise
33408,34484,1000,3,2,55680.0,44.0,Exercise
49536,34496,1000,3,2,55740.0,46.0,Exercise
19040,34536,1000,3,2,55800.0,44.0,Exercise
31536,34460,1000,3,2,55860.0,46.0,Exercise
31498,34624,1000,3,2,55920.0,47.0,BP_05
37284,34372,1000,3,2,55980.0,47.0,blankScreen_05
33108,34965,1000,3,2,56040.0,63.0,blankScreen_05
30376,34948,1000,3,2,56100.0,168.0,blankScreen_05
34642,34900,1000,3,2,56160.0,250.0,BP_06
32298,34996,1000,3,2,56220.0,285.0,BP_06
31652,35052,1000,3,2,56280.0,335.0,
31520,35108,1000,3,2,56340.0,395.0,
45142,34800,1000,3,2,56400.0,407.0,
32032,34930,1000,3,2,56460.0,457.0,
32728,35044,1000,3,2,56520.0,463.0,
