TEMP_CH1,ECG_CH2,EDA_CH3,Freq,Channels,File,t,Task
35854,34476,875,1000,3,0,47280.0,
35930,31796,1268,1000,3,0,47340.0,
35924,31608,953,1000,3,0,47400.0,
35924,33132,1123,1000,3,0,47460.0,
35968,34598,935,1000,3,0,47520.0,
35962,31628,908,1000,3,0,47580.0,
35980,32136,954,1000,3,0,47640.0,
35984,35064,946,1000,3,0,47700.0,
36016,31188,1008,1000,3,0,47760.0,
36016,32080,1089,1000,3,0,47820.0,
35980,31692,1007,1000,3,0,47880.0,
35996,32532,1163,1000,3,0,47940.0,
36000,33626,1132,1000,3,0,48000.0,
36012,31045,1081,1000,3,0,48060.0,
36040,32748,1093,1000,3,0,48120.0,
36049,31829,1075,1000,3,0,48180.0,
36056,31852,1070,1000,3,0,48240.0,
36036,30576,1315,1000,3,0,48300.0,
36028,34478,1227,1000,3,0,48360.0,
36096,35196,1346,1000,3,0,48420.0,
36048,33865,1296,1000,3,0,48480.0,
36052,33500,1608,1000,3,0,48540.0,
36080,32124,1357,1000,3,0,48600.0,
36104,32152,1594,1000,3,0,48660.0,
36128,34800,1593,1000,3,0,48720.0,
36124,34444,1683,1000,3,0,48780.0,
36096,31908,1447,1000,3,0,48840.0,
36108,32028,1446,1000,3,0,48900.0,
36100,34181,1384,1000,3,0,48960.0,
36120,31505,1478,1000,3,0,49020.0,
36128,33312,1400,1000,3,0,49080.0,
36116,34976,1314,1000,3,0,49140.0,
36120,34502,1301,1000,3,0,49200.0,
36124,33764,1290,1000,3,0,49260.0,
36132,34428,1256,1000,3,0,49320.0,
36132,33588,1777,1000,3,0,49380.0,
36124,31477,1325,1000,3,0,49440.0,
36120,30734,1586,1000,3,0,49500.0,blankScreen_00
36096,30912,1658,1000,3,0,49560.0,blankScreen_00
36094,33476,1579,1000,3,0,49620.0,blankScreen_00
36060,33040,1535,1000,3,0,49680.0,BP_00
36006,32392,1455,1000,3,0,49740.0,BP_00
36008,31892,1573,1000,3,0,49800.0,
36034,33981,1577,1000,3,0,49860.0,
36064,33092,1404,1000,3,0,49920.0,
36060,31074,1366,1000,3,0,49980.0,
36004,31848,1988,1000,3,0,50040.0,
36032,31764,2028,1000,3,0,50100.0,
34544,26958,2313,1000,3,0,50160.0,
34932,34516,1701,1000,3,0,50220.0,Exposure
35568,32528,1467,1000,3,0,50280.0,Exposure
35772,34556,1279,1000,3,0,50340.0,
35781,32176,1295,1000,3,0,50400.0,passiveViewing_01
35776,36164,1265,1000,3,0,50460.0,passiveViewing_01
35840,34244,1481,1000,3,0,50520.0,passiveViewing_01
35848,34758,1323,1000,3,0,50580.0,passiveViewing_01
35818,31418,1354,1000,3,0,50640.0,passiveViewing_01
35944,31660,1275,1000,3,0,50700.0,passiveViewing_01
35956,31908,1298,1000,3,0,50760.0,passiveViewing_01
36000,34193,1385,1000,3,0,50820.0,passiveViewing_01
35972,33180,1262,1000,3,0,50880.0,passiveViewing_01
36034,32364,1268,1000,3,0,50940.0,passiveViewing_01
36072,33460,1172,1000,3,0,51000.0,passiveViewing_01
36090,33310,1158,1000,3,0,51060.0,passiveViewing_01
36108,32060,1110,1000,3,0,51120.0,passiveViewing_01
36108,34361,1093,1000,3,0,51180.0,passiveViewing_01
36156,32746,1124,1000,3,0,51240.0,passiveViewing_01
