ECG_CH2,TEMP_CH4,Freq,Channels,File,t,EDA_CH3,Task
37848,34404,1000,3,1,53040.0,44.0,Exercise
32064,34120,1000,3,1,53100.0,43.0,Exercise
34100,34112,1000,3,1,53160.0,43.0,Exercise
40484,34072,1000,3,1,53220.0,42.0,Exercise
20456,33984,1000,3,1,53280.0,43.0,Exercise
40248,34044,1000,3,1,53340.0,44.0,Exercise
37286,33892,1000,3,1,53400.0,43.0,Exercise
45204,33960,1000,3,1,53460.0,44.0,Exercise
34140,33744,1000,3,1,53520.0,44.0,Exercise
143,33728,1000,3,1,53580.0,43.0,Exercise
40088,33836,1000,3,1,53640.0,43.0,Exercise
24132,33904,1000,3,1,53700.0,44.0,Exercise
28732,33716,1000,3,1,53760.0,44.0,Exercise
33364,34348,1000,3,1,53820.0,44.0,BP_05
30532,34592,1000,3,1,53880.0,45.0,BP_05
31156,34726,1000,3,1,53940.0,46.0,blankScreen_05
37320,34764,1000,3,1,54000.0,47.0,blankScreen_05
31964,34852,1000,3,1,54060.0,48.0,blankScreen_05
42364,34692,1000,3,1,54120.0,50.0,
28764,34700,1000,3,1,54180.0,69.0,BP_06
38392,34692,1000,3,1,54240.0,98.0,
28092,34572,1000,3,1,54300.0,149.0,
35828,34810,1000,3,1,54360.0,173.0,
39440,34680,1000,3,1,54420.0,214.0,
28704,34700,1000,3,1,54480.0,220.0,
