TEMP_CH1,ECG_CH2,Freq,Channels,File,t,EDA_CH3,Task
37368,30508,1000,2,0,30240.0,,
37342,24928,1000,2,0,30300.0,,
37384,33434,1000,2,0,30360.0,,
37372,33328,1000,2,0,30420.0,,
37288,30966,1000,2,0,30480.0,,
37240,34676,1000,2,0,30540.0,,
37234,34620,1000,2,0,30600.0,,
37256,37284,1000,2,0,30660.0,,
37272,31356,1000,2,0,30720.0,,
37252,33856,1000,2,0,30780.0,,
37252,32600,1000,2,0,30840.0,,
37280,34560,1000,2,0,30900.0,,
37236,31208,1000,2,0,30960.0,,
37176,32176,1000,2,0,31020.0,,
37148,37460,1000,2,0,31080.0,,
37136,31908,1000,2,0,31140.0,,
37132,36476,1000,2,0,31200.0,,
37140,33064,1000,2,0,31260.0,,
37112,31532,1000,2,0,31320.0,,
37096,33540,1000,2,0,31380.0,,
37112,32664,1000,2,0,31440.0,,
37080,31788,1000,2,0,31500.0,,
37060,37244,1000,2,0,31560.0,,
37100,38056,1000,2,0,31620.0,,
37076,64304,1000,2,0,31680.0,,
37044,32128,1000,2,0,31740.0,,
36988,33220,1000,2,0,31800.0,,
36984,30368,1000,2,0,31860.0,,
36984,30960,1000,2,0,31920.0,,
36992,32528,1000,2,0,31980.0,,
36984,38656,1000,2,0,32040.0,,
36964,30356,1000,2,0,32100.0,,
36956,30300,1000,2,0,32160.0,,
36956,33656,1000,2,0,32220.0,,
36932,33404,1000,2,0,32280.0,,
36892,31832,1000,2,0,32340.0,,
36884,29312,1000,2,0,32400.0,,
36932,28350,1000,2,0,32460.0,,
36820,33444,1000,2,0,32520.0,,
36800,32552,1000,2,0,32580.0,,
36720,33044,1000,2,0,32640.0,,
36828,30556,1000,2,0,32700.0,,
36812,29622,1000,2,0,32760.0,,
36820,30744,1000,2,0,32820.0,,
36800,33236,1000,2,0,32880.0,,
36800,32582,1000,2,0,32940.0,,
36760,39632,1000,2,0,33000.0,,
36762,31904,1000,2,0,33060.0,,
36744,33476,1000,2,0,33120.0,,
36740,33928,1000,2,0,33180.0,,
36728,37376,1000,2,0,33240.0,,
36712,31148,1000,2,0,33300.0,,
36720,33856,1000,2,0,33360.0,,
36720,32736,1000,2,0,33420.0,,
36760,32384,1000,2,0,33480.0,,
36728,32250,1000,2,0,33540.0,,
36706,32864,1000,2,0,33600.0,,
36684,30624,1000,2,0,33660.0,,
36672,36052,1000,2,0,33720.0,,
36680,39540,1000,2,0,33780.0,,
36660,27604,1000,2,0,33840.0,,
36664,33928,1000,2,0,33900.0,,
36672,27944,1000,2,0,33960.0,,
36660,31420,1000,2,0,34020.0,,
36672,32752,1000,2,0,34080.0,,
36692,29276,1000,2,0,34140.0,,
36672,30788,1000,2,0,34200.0,,blankScreen_00
36648,33524,1000,2,0,34260.0,,blankScreen_00
36636,32020,1000,2,0,34320.0,,blankScreen_00
36612,32376,1000,2,0,34380.0,,
36600,32956,1000,2,0,34440.0,,BP_00
36560,33780,1000,2,0,34500.0,,
36516,35628,1000,2,0,34560.0,,
36564,35336,1000,2,0,34620.0,,
36588,37792,1000,2,0,34680.0,,Exposure
36648,25532,1000,2,0,34740.0,,Exposure
36604,28516,1000,2,0,34800.0,,
36632,36440,1000,2,0,34860.0,,passiveViewing_01
36576,33824,1000,2,0,34920.0,,passiveViewing_01
36612,28354,1000,2,0,34980.0,,passiveViewing_01
36604,27252,1000,2,0,35040.0,,passiveViewing_01
36548,32840,1000,2,0,35100.0,,passiveViewing_01
36540,32092,1000,2,0,35160.0,,passiveViewing_01
36688,29426,1000,2,0,35220.0,,passiveViewing_01
36972,36192,1000,2,0,35280.0,,passiveViewing_01
37022,31048,1000,2,0,35340.0,,passiveViewing_01
37056,32660,1000,2,0,35400.0,,passiveViewing_01
36928,54080,1000,2,0,35460.0,,passiveViewing_01
36816,34528,1000,2,0,35520.0,,passiveViewing_01
36732,33032,1000,2,0,35580.0,,passiveViewing_01
36668,32340,1000,2,0,35640.0,,passiveViewing_01
36592,32800,1000,2,0,35700.0,,passiveViewing_01
36584,32528,1000,2,0,35760.0,,blankScreen_01
36560,32448,1000,2,0,35820.0,,blankScreen_01
36592,35424,1000,2,0,35880.0,,blankScreen_01
36540,31792,1000,2,0,35940.0,,
36512,32812,1000,2,0,36000.0,,BP_01
36500,32364,1000,2,0,36060.0,,
36464,31744,1000,2,0,36120.0,,
36456,29170,1000,2,0,36180.0,,
36452,32756,1000,2,0,36240.0,,
36448,32078,1000,2,0,36300.0,,
36452,28840,1000,2,0,36360.0,,
36436,35820,1000,2,0,36420.0,,
36416,29484,1000,2,0,36480.0,,
36420,31188,1000,2,0,36540.0,,
36436,31960,1000,2,0,36600.0,,
36428,36492,1000,2,0,36660.0,,
36404,36236,1000,2,0,36720.0,,
36388,27502,1000,2,0,36780.0,,
36412,27810,1000,2,0,36840.0,,
36416,32956,1000,2,0,36900.0,,
36416,31492,1000,2,0,36960.0,,blankScreen_02
36404,35572,1000,2,0,37020.0,,blankScreen_02
