TEMP_CH1,ECG_CH2,Freq,Channels,File,t,Task
36732,32168,1000,2,0,30000.0,
36448,33536,1000,2,0,30060.0,
36416,32604,1000,2,0,30120.0,
37140,28140,1000,2,0,30180.0,
37012,32028,1000,2,0,30240.0,
37276,36396,1000,2,0,30300.0,
36492,32756,1000,2,0,30360.0,
36512,31296,1000,2,0,30420.0,
36672,24334,1000,2,0,30480.0,
36624,32964,1000,2,0,30540.0,
36596,32097,1000,2,0,30600.0,
36592,28472,1000,2,0,30660.0,
36512,31406,1000,2,0,30720.0,
36476,31284,1000,2,0,30780.0,
36456,31692,1000,2,0,30840.0,
36512,33324,1000,2,0,30900.0,
36520,32792,1000,2,0,30960.0,
36512,33252,1000,2,0,31020.0,
36532,28584,1000,2,0,31080.0,
36496,33284,1000,2,0,31140.0,
36412,33672,1000,2,0,31200.0,
36308,29185,1000,2,0,31260.0,
36452,31272,1000,2,0,31320.0,
36440,50648,1000,2,0,31380.0,
36452,31044,1000,2,0,31440.0,
36380,32492,1000,2,0,31500.0,
36356,31864,1000,2,0,31560.0,blankScreen_00
36336,32124,1000,2,0,31620.0,blankScreen_00
36352,34196,1000,2,0,31680.0,blankScreen_00
36296,34764,1000,2,0,31740.0,BP_00
36266,32420,1000,2,0,31800.0,BP_00
36316,32884,1000,2,0,31860.0,
36332,32840,1000,2,0,31920.0,
36296,29028,1000,2,0,31980.0,
36224,32508,1000,2,0,32040.0,
36264,34022,1000,2,0,32100.0,Exposure
36364,30304,1000,2,0,32160.0,Exposure
36312,33608,1000,2,0,32220.0,Exposure
36136,23304,1000,2,0,32280.0,passiveViewing_01
36248,31044,1000,2,0,32340.0,passiveViewing_01
36372,31188,1000,2,0,32400.0,passiveViewing_01
36348,33352,1000,2,0,32460.0,passiveViewing_01
36414,33446,1000,2,0,32520.0,passiveViewing_01
36388,33100,1000,2,0,32580.0,passiveViewing_01
36340,35516,1000,2,0,32640.0,passiveViewing_01
36412,29128,1000,2,0,32700.0,passiveViewing_01
36372,29454,1000,2,0,32760.0,passiveViewing_01
36374,33068,1000,2,0,32820.0,passiveViewing_01
36408,32844,1000,2,0,32880.0,passiveViewing_01
36412,32998,1000,2,0,32940.0,passiveViewing_01
36368,29216,1000,2,0,33000.0,passiveViewing_01
36364,29292,1000,2,0,33060.0,passiveViewing_01
36380,34192,1000,2,0,33120.0,passiveViewing_01
36288,32320,1000,2,0,33180.0,blankScreen_01
36276,33216,1000,2,0,33240.0,blankScreen_01
36284,37316,1000,2,0,33300.0,blankScreen_01
36184,31462,1000,2,0,33360.0,BP_01
36132,32888,1000,2,0,33420.0,
36164,30912,1000,2,0,33480.0,
36192,31024,1000,2,0,33540.0,
36164,30774,1000,2,0,33600.0,
36144,31752,1000,2,0,33660.0,
36128,28436,1000,2,0,33720.0,
36136,32180,1000,2,0,33780.0,
36098,31150,1000,2,0,33840.0,
36060,31695,1000,2,0,33900.0,
36092,36300,1000,2,0,33960.0,
36116,33424,1000,2,0,34020.0,
36112,32580,1000,2,0,34080.0,
36096,32372,1000,2,0,34140.0,
36088,32550,1000,2,0,34200.0,
36080,32320,1000,2,0,34260.0,
36036,31065,1000,2,0,34320.0,blankScreen_02
35980,35108,1000,2,0,34380.0,blankScreen_02
36036,31458,1000,2,0,34440.0,blankScreen_02
36056,31796,1000,2,0,34500.0,BP_02
35884,32732,1000,2,0,34560.0,BP_02
35936,32064,1000,2,0,34620.0,
35990,64300,1000,2,0,34680.0,
35952,34084,1000,2,0,34740.0,
35988,32724,1000,2,0,34800.0,
35952,32540,1000,2,0,34860.0,
35940,32760,1000,2,0,34920.0,
35892,33020,1000,2,0,34980.0,
36692,28664,1000,2,0,35040.0,
36816,36916,1000,2,0,35100.0,
32984,34800,1000,2,0,35160.0,
31828,31964,1000,2,0,35220.0,
34514,26400,1000,2,0,35280.0,
34584,31394,1000,2,0,35340.0,
34624,64448,1000,2,0,35400.0,
34120,30104,1000,2,0,35460.0,
34028,53024,1000,2,0,35520.0,
33980,33402,1000,2,0,35580.0,
33940,29406,1000,2,0,35640.0,
33920,34820,1000,2,0,35700.0,
33940,31600,1000,2,0,35760.0,
34088,36149,1000,2,0,35820.0,
34108,32480,1000,2,0,35880.0,
34024,28774,1000,2,0,35940.0,
34088,31916,1000,2,0,36000.0,
34026,32252,1000,2,0,36060.0,
34108,33340,1000,2,0,36120.0,
34164,31980,1000,2,0,36180.0,
34236,32556,1000,2,0,36240.0,blankScreen_03
34280,20833,1000,2,0,36300.0,blankScreen_03
32896,31968,1000,2,0,36360.0,blankScreen_03
32996,32912,1000,2,0,36420.0,BP_03
32920,31484,1000,2,0,36480.0,BP_03
32360,25140,1000,2,0,36540.0,
32552,31844,1000,2,0,36600.0,
32500,30056,1000,2,0,36660.0,
32645,32704,1000,2,0,36720.0,
