ECG_CH2,TEMP_CH4,Freq,Channels,File,t,EDA_CH3,Task
26936,38104,1000,2,0,29400.0,,
33592,37984,1000,2,0,29460.0,,
34504,37852,1000,2,0,29520.0,,
32940,37988,1000,2,0,29580.0,,
31308,37952,1000,2,0,29640.0,,
36052,37884,1000,2,0,29700.0,,
32288,38052,1000,2,0,29760.0,,
33000,37984,1000,2,0,29820.0,,
29996,38004,1000,2,0,29880.0,,
32016,37836,1000,2,0,29940.0,,
31772,37848,1000,2,0,30000.0,,
34556,37756,1000,2,0,30060.0,,
32252,37724,1000,2,0,30120.0,,
33008,37724,1000,2,0,30180.0,,
27652,37732,1000,2,0,30240.0,,
31462,37632,1000,2,0,30300.0,,blankScreen_00
26988,37468,1000,2,0,30360.0,,blankScreen_00
31344,37504,1000,2,0,30420.0,,blankScreen_00
30248,37452,1000,2,0,30480.0,,BP_00
32748,37206,1000,2,0,30540.0,,BP_00
35732,37120,1000,2,0,30600.0,,
32076,37120,1000,2,0,30660.0,,
32144,37236,1000,2,0,30720.0,,
31196,37196,1000,2,0,30780.0,,
31976,37284,1000,2,0,30840.0,,
38436,37528,1000,2,0,30900.0,,Exposure
30728,37796,1000,2,0,30960.0,,Exposure
33688,37816,1000,2,0,31020.0,,Exposure
33316,37624,1000,2,0,31080.0,,Exposure
32248,37408,1000,2,0,31140.0,,Exposure
28820,37296,1000,2,0,31200.0,,passiveViewing_01
31089,36936,1000,2,0,31260.0,,passiveViewing_01
31796,37092,1000,2,0,31320.0,,passiveViewing_01
31156,36988,1000,2,0,31380.0,,passiveViewing_01
34120,36984,1000,2,0,31440.0,,passiveViewing_01
32724,37094,1000,2,0,31500.0,,passiveViewing_01
32904,37024,1000,2,0,31560.0,,passiveViewing_01
37136,37080,1000,2,0,31620.0,,passiveViewing_01
27476,37168,1000,2,0,31680.0,,passiveViewing_01
32626,37616,1000,2,0,31740.0,,passiveViewing_01
33704,37688,1000,2,0,31800.0,,passiveViewing_01
32042,37120,1000,2,0,31860.0,,passiveViewing_01
30472,37200,1000,2,0,31920.0,,passiveViewing_01
39102,37020,1000,2,0,31980.0,,passiveViewing_01
34848,37392,1000,2,0,32040.0,,
33580,37608,1000,2,0,32100.0,,blankScreen_01
31260,37316,1000,2,0,32160.0,,blankScreen_01
26242,37108,1000,2,0,32220.0,,blankScreen_01
29648,37064,1000,2,0,32280.0,,BP_01
31800,36892,1000,2,0,32340.0,,
30912,36852,1000,2,0,32400.0,,
31720,36780,1000,2,0,32460.0,,
29664,36708,1000,2,0,32520.0,,
32560,36736,1000,2,0,32580.0,,
33132,36704,1000,2,0,32640.0,,
32842,36704,1000,2,0,32700.0,,
33404,36644,1000,2,0,32760.0,,
29146,36578,1000,2,0,32820.0,,
30192,36732,1000,2,0,32880.0,,
32056,36624,1000,2,0,32940.0,,
31856,36636,1000,2,0,33000.0,,
32460,36652,1000,2,0,33060.0,,
33104,36664,1000,2,0,33120.0,,
31972,36628,1000,2,0,33180.0,,
30796,36640,1000,2,0,33240.0,,blankScreen_02
32416,36680,1000,2,0,33300.0,,blankScreen_02
32896,36660,1000,2,0,33360.0,,blankScreen_02
34940,36544,1000,2,0,33420.0,,BP_02
34084,36412,1000,2,0,33480.0,,
32392,35716,1000,2,0,33540.0,,
33752,34856,1000,2,0,33600.0,,
28500,31928,1000,2,0,33660.0,,
38464,29456,1000,2,0,33720.0,,
30642,28600,1000,2,0,33780.0,,
33276,28316,1000,2,0,33840.0,,
30260,28208,1000,2,0,33900.0,,
31484,28032,1000,2,0,33960.0,,
33604,28148,1000,2,0,34020.0,,
33456,28116,1000,2,0,34080.0,,
32312,28240,1000,2,0,34140.0,,
31204,28232,1000,2,0,34200.0,,
31756,28324,1000,2,0,34260.0,,
32696,28352,1000,2,0,34320.0,,
32112,28300,1000,2,0,34380.0,,
31720,28280,1000,2,0,34440.0,,
28164,28500,1000,2,0,34500.0,,
31688,29722,1000,2,0,34560.0,,
29212,30556,1000,2,0,34620.0,,
32596,30428,1000,2,0,34680.0,,
29632,32796,1000,2,0,34740.0,,
35988,32484,1000,2,0,34800.0,,
34040,29592,1000,2,0,34860.0,,
31532,28928,1000,2,0,34920.0,,
26712,28576,1000,2,0,34980.0,,
31660,28636,1000,2,0,35040.0,,blankScreen_03
33840,28504,1000,2,0,35100.0,,blankScreen_03
32196,28408,1000,2,0,35160.0,,blankScreen_03
32776,28672,1000,2,0,35220.0,,BP_03
27976,28756,1000,2,0,35280.0,,
29828,28716,1000,2,0,35340.0,,
28184,28888,1000,2,0,35400.0,,
31988,28804,1000,2,0,35460.0,,
27205,32288,1000,2,0,35520.0,,
32884,33364,1000,2,0,35580.0,,
32544,33620,1000,2,0,35640.0,,
33104,34020,1000,2,0,35700.0,,
28168,32096,1000,2,0,35760.0,,
32932,32228,1000,2,0,35820.0,,
34812,31960,1000,2,0,35880.0,,
33728,32280,1000,2,0,35940.0,,
30104,32616,1000,2,0,36000.0,,
33256,33636,1000,2,0,36060.0,,
30938,35230,1000,3,1,36240.0,42.0,blankScreen_04
34032,35296,1000,3,1,36300.0,44.0,blankScreen_04
36952,35388,1000,3,1,36360.0,44.0,
28036,35004,1000,3,1,36420.0,43.0,BP_04
32178,34672,1000,3,1,36480.0,44.0,
28208,34064,1000,3,1,36540.0,44.0,
30400,34176,1000,3,1,36600.0,43.0,
32260,33968,1000,3,1,36660.0,43.0,
