ECG_CH2,TEMP_CH4,Freq,Channels,File,t,EDA_CH3,Task
35068,37164,1000,3,1,37680.0,2786.0,blankScreen_04
30148,37312,1000,3,1,37740.0,2921.0,blankScreen_04
33312,37180,1000,3,1,37800.0,3075.0,BP_04
32184,37216,1000,3,1,37860.0,3088.0,BP_04
31128,37244,1000,3,1,37920.0,3344.0,
34344,37412,1000,3,1,37980.0,4165.0,
30144,37320,1000,3,1,38040.0,4218.0,
31716,37228,1000,3,1,38100.0,4473.0,
33269,37038,1000,3,1,38160.0,4816.0,BP_05
34880,37064,1000,3,1,38220.0,4528.0,BP_05
30664,36248,1000,3,1,38280.0,4931.0,BP_05
28373,36544,1000,3,1,38340.0,5015.0,BP_05
38908,35680,1000,3,1,38400.0,5092.0,BP_05
32952,35572,1000,3,1,38460.0,4873.0,BP_05
32106,34704,1000,3,1,38520.0,4904.0,BP_05
31068,35024,1000,3,1,38580.0,5053.0,blankScreen_05
33068,35872,1000,3,1,38640.0,4937.0,blankScreen_05
28556,36286,1000,3,1,38700.0,4696.0,blankScreen_05
33776,35760,1000,3,1,38760.0,5034.0,BP_06
31536,35136,1000,3,1,38820.0,4795.0,BP_06
32990,34468,1000,3,1,38880.0,4752.0,BP_06
32844,34728,1000,3,1,38940.0,5112.0,
35724,34172,1000,3,1,39000.0,5232.0,
31228,35016,1000,3,1,39060.0,5344.0,
31884,34844,1000,3,1,39120.0,5220.0,
31252,34656,1000,3,1,39180.0,5232.0,
31252,34264,1000,3,1,39240.0,5632.0,
