TEMP_CH1,ECG_CH2,Freq,Channels,File,t,EDA_CH1,CUSTOM/0.5/1.0/V_CH2,CUSTOM/0.5/1.0/V_CH3,Task
33936.0,30352.0,1000,2,0,49980.0,,,,
33960.0,31324.0,1000,2,0,50040.0,,,,
33924.0,35440.0,1000,2,0,50100.0,,,,
33920.0,31880.0,1000,2,0,50160.0,,,,
33960.0,31640.0,1000,2,0,50220.0,,,,
33976.0,39036.0,1000,2,0,50280.0,,,,
33960.0,32716.0,1000,2,0,50340.0,,,,
33936.0,31840.0,1000,2,0,50400.0,,,,
33946.0,29950.0,1000,2,0,50460.0,,,,
33916.0,35452.0,1000,2,0,50520.0,,,,
33922.0,36740.0,1000,2,0,50580.0,,,,
33924.0,38480.0,1000,2,0,50640.0,,,,
33860.0,35229.0,1000,2,0,50700.0,,,,
33838.0,31852.0,1000,2,0,50760.0,,,,
33916.0,30704.0,1000,2,0,50820.0,,,,
33924.0,32680.0,1000,2,0,50880.0,,,,
33916.0,30348.0,1000,2,0,50940.0,,,,
33928.0,29878.0,1000,2,0,51000.0,,,,
33914.0,30072.0,1000,2,0,51060.0,,,,
33892.0,36768.0,1000,2,0,51120.0,,,,blankScreen_00
33872.0,31872.0,1000,2,0,51180.0,,,,blankScreen_00
33852.0,30624.0,1000,2,0,51240.0,,,,blankScreen_00
33856.0,30424.0,1000,2,0,51300.0,,,,BP_00
33780.0,36748.0,1000,2,0,51360.0,,,,BP_00
33648.0,33213.0,1000,2,0,51420.0,,,,
33544.0,29324.0,1000,2,0,51480.0,,,,
33484.0,61278.0,1000,2,0,51540.0,,,,
33576.0,30320.0,1000,2,0,51600.0,,,,Exposure
33612.0,30876.0,1000,2,0,51660.0,,,,Exposure
33622.0,31000.0,1000,2,0,51720.0,,,,passiveViewing_01
33660.0,35436.0,1000,2,0,51780.0,,,,passiveViewing_01
33676.0,32708.0,1000,2,0,51840.0,,,,passiveViewing_01
33700.0,31368.0,1000,2,0,51900.0,,,,passiveViewing_01
33700.0,31052.0,1000,2,0,51960.0,,,,passiveViewing_01
33708.0,32068.0,1000,2,0,52020.0,,,,passiveViewing_01
33708.0,31016.0,1000,2,0,52080.0,,,,passiveViewing_01
33722.0,32624.0,1000,2,0,52140.0,,,,passiveViewing_01
33732.0,32540.0,1000,2,0,52200.0,,,,passiveViewing_01
33748.0,31856.0,1000,2,0,52260.0,,,,passiveViewing_01
33760.0,32164.0,1000,2,0,52320.0,,,,passiveViewing_01
33760.0,34070.0,1000,2,0,52380.0,,,,passiveViewing_01
33758.0,30552.0,1000,2,0,52440.0,,,,passiveViewing_01
33748.0,32832.0,1000,2,0,52500.0,,,,passiveViewing_01
33744.0,30384.0,1000,2,0,52560.0,,,,passiveViewing_01
33760.0,32616.0,1000,2,0,52620.0,,,,blankScreen_01
33772.0,30608.0,1000,2,0,52680.0,,,,blankScreen_01
33780.0,31458.0,1000,2,0,52740.0,,,,blankScreen_01
33796.0,33200.0,1000,2,0,52800.0,,,,BP_01
33772.0,37084.0,1000,2,0,52860.0,,,,
33786.0,35316.0,1000,2,0,52920.0,,,,
33800.0,32048.0,1000,2,0,52980.0,,,,
33812.0,29346.0,1000,2,0,53040.0,,,,
33800.0,32980.0,1000,2,0,53100.0,,,,
33796.0,35700.0,1000,2,0,53160.0,,,,
33792.0,29648.0,1000,2,0,53220.0,,,,
33808.0,31860.0,1000,2,0,53280.0,,,,
33806.0,31668.0,1000,2,0,53340.0,,,,
33808.0,30344.0,1000,2,0,53400.0,,,,
