TEMP_CH2,ECG_CH3,EDA_CH4,Freq,Channels,File,t,Task
38748,30620,45,1000,3,0,31380.0,
38452,31856,48,1000,3,0,31440.0,
38676,32124,47,1000,3,0,31500.0,
38632,27401,47,1000,3,0,31560.0,
38600,30600,47,1000,3,0,31620.0,
38656,32440,48,1000,3,0,31680.0,
38460,33092,49,1000,3,0,31740.0,
38468,29600,53,1000,3,0,31800.0,
38540,29265,51,1000,3,0,31860.0,
38556,31768,49,1000,3,0,31920.0,
38624,32945,50,1000,3,0,31980.0,
38504,32693,54,1000,3,0,32040.0,
38652,29356,55,1000,3,0,32100.0,
38616,29696,59,1000,3,0,32160.0,
38576,29460,61,1000,3,0,32220.0,
38632,32392,65,1000,3,0,32280.0,
38664,29436,69,1000,3,0,32340.0,
38558,30260,68,1000,3,0,32400.0,
38462,30796,70,1000,3,0,32460.0,
38584,29412,75,1000,3,0,32520.0,
38440,32792,74,1000,3,0,32580.0,
38298,33244,72,1000,3,0,32640.0,
38328,32797,73,1000,3,0,32700.0,
38388,33796,73,1000,3,0,32760.0,
38384,33162,76,1000,3,0,32820.0,
38268,34932,79,1000,3,0,32880.0,
38268,27972,81,1000,3,0,32940.0,
38294,34184,89,1000,3,0,33000.0,
38312,29153,95,1000,3,0,33060.0,
38248,32752,94,1000,3,0,33120.0,
38213,32416,97,1000,3,0,33180.0,
38308,33260,100,1000,3,0,33240.0,
38408,32944,109,1000,3,0,33300.0,
38496,59512,116,1000,3,0,33360.0,
38368,32772,132,1000,3,0,33420.0,
38336,33028,135,1000,3,0,33480.0,
38380,32476,126,1000,3,0,33540.0,
38368,32664,118,1000,3,0,33600.0,blankScreen_00
38272,33276,119,1000,3,0,33660.0,blankScreen_00
38280,27312,131,1000,3,0,33720.0,blankScreen_00
37926,33244,145,1000,3,0,33780.0,BP_00
38050,29088,137,1000,3,0,33840.0,BP_00
38324,35252,150,1000,3,0,33900.0,
38714,30068,229,1000,3,0,33960.0,
38848,31078,202,1000,3,0,34020.0,
38384,32133,144,1000,3,0,34080.0,
38268,34388,162,1000,3,0,34140.0,Exposure
38358,32516,151,1000,3,0,34200.0,Exposure
38214,34124,134,1000,3,0,34260.0,Exposure
38200,32940,123,1000,3,0,34320.0,Exposure
38208,32596,115,1000,3,0,34380.0,Exposure
38004,28834,90,1000,3,0,34440.0,passiveViewing_01
38092,30144,179,1000,3,0,34500.0,passiveViewing_01
38028,33082,180,1000,3,0,34560.0,passiveViewing_01
38228,32924,187,1000,3,0,34620.0,passiveViewing_01
37970,30108,183,1000,3,0,34680.0,passiveViewing_01
37857,33868,189,1000,3,0,34740.0,passiveViewing_01
37884,32902,199,1000,3,0,34800.0,passiveViewing_01
37868,33242,206,1000,3,0,34860.0,passiveViewing_01
37868,34128,196,1000,3,0,34920.0,passiveViewing_01
37948,32084,195,1000,3,0,34980.0,passiveViewing_01
38040,32724,190,1000,3,0,35040.0,passiveViewing_01
38012,32674,212,1000,3,0,35100.0,passiveViewing_01
37912,33229,195,1000,3,0,35160.0,passiveViewing_01
37872,30072,177,1000,3,0,35220.0,passiveViewing_01
37908,29512,166,1000,3,0,35280.0,passiveViewing_01
37892,32388,199,1000,3,0,35340.0,passiveViewing_01
37876,29132,195,1000,3,0,35400.0,passiveViewing_01
37914,38174,334,1000,3,0,35460.0,blankScreen_01
38020,30052,356,1000,3,0,35520.0,blankScreen_01
37912,33448,395,1000,3,0,35580.0,blankScreen_01
37880,32612,409,1000,3,0,35640.0,BP_01
37940,29492,452,1000,3,0,35700.0,
38132,32876,399,1000,3,0,35760.0,
38076,32468,350,1000,3,0,35820.0,
38080,33008,311,1000,3,0,35880.0,
38044,30152,382,1000,3,0,35940.0,
38028,29108,330,1000,3,0,36000.0,
38252,34368,310,1000,3,0,36060.0,
38076,28408,302,1000,3,0,36120.0,
38244,33236,455,1000,3,0,36180.0,
38070,32952,406,1000,3,0,36240.0,
38228,32236,429,1000,3,0,36300.0,
37928,32468,438,1000,3,0,36360.0,
37920,33076,449,1000,3,0,36420.0,
37834,29740,421,1000,3,0,36480.0,
37844,32968,397,1000,3,0,36540.0,
38028,32522,499,1000,3,0,36600.0,blankScreen_02
37920,31004,472,1000,3,0,36660.0,blankScreen_02
37982,31848,492,1000,3,0,36720.0,blankScreen_02
37892,33964,495,1000,3,0,36780.0,BP_02
37520,34144,497,1000,3,0,36840.0,
37740,27656,458,1000,3,0,36900.0,
37820,33636,404,1000,3,0,36960.0,
37828,33028,381,1000,3,0,37020.0,
38024,32548,384,1000,3,0,37080.0,
38100,34012,534,1000,3,0,37140.0,
37948,32912,517,1000,3,0,37200.0,
38016,46192,495,1000,3,0,37260.0,
38016,29584,505,1000,3,0,37320.0,
37800,32148,526,1000,3,0,37380.0,
37784,29924,583,1000,3,0,37440.0,
37952,30748,603,1000,3,0,37500.0,
37984,32844,615,1000,3,0,37560.0,
37980,32900,574,1000,3,0,37620.0,
38020,43328,585,1000,3,0,37680.0,
38044,32162,623,1000,3,0,37740.0,
37940,32280,623,1000,3,0,37800.0,
37676,32244,643,1000,3,0,37860.0,
37548,32768,637,1000,3,0,37920.0,
37876,35608,632,1000,3,0,37980.0,
37780,33072,640,1000,3,0,38040.0,blankScreen_03
37664,33313,612,1000,3,0,38100.0,blankScreen_03
37744,37956,655,1000,3,0,38160.0,blankScreen_03
37800,27676,612,1000,3,0,38220.0,BP_03
37632,32800,630,1000,3,0,38280.0,BP_03
37784,33700,654,1000,3,0,38340.0,
37732,32744,738,1000,3,0,38400.0,
37676,30640,731,1000,3,0,38460.0,
37652,32928,686,1000,3,0,38520.0,
37624,29912,664,1000,3,0,38580.0,
37466,32794,736,1000,3,0,38640.0,blankScreen_04
37456,32484,814,1000,3,0,38700.0,blankScreen_04
37416,32556,804,1000,3,0,38760.0,blankScreen_04
37256,33212,809,1000,3,0,38820.0,BP_04
37316,32872,786,1000,3,0,38880.0,
37320,33208,830,1000,3,0,38940.0,
37336,32892,854,1000,3,0,39000.0,
37416,32684,853,1000,3,0,39060.0,
37072,32756,850,1000,3,0,39120.0,Exercise
37320,32116,821,1000,3,0,39180.0,Exercise
37572,31752,813,1000,3,0,39240.0,Exercise
36720,23184,823,1000,3,0,39300.0,Exercise
36748,43460,836,1000,3,0,39360.0,Exercise
36652,34396,810,1000,3,0,39420.0,Exercise
36532,31576,835,1000,3,0,39480.0,Exercise
36560,34892,783,1000,3,0,39540.0,Exercise
36576,31980,881,1000,3,0,39600.0,Exercise
36552,35676,661,1000,3,0,39660.0,Exercise
36730,29360,727,1000,3,0,39720.0,Exercise
36520,37908,770,1000,3,0,39780.0,Exercise
36304,31344,780,1000,3,0,39840.0,Exercise
36376,32224,790,1000,3,0,39900.0,Exercise
36248,25488,779,1000,3,0,39960.0,Exercise
36344,32228,722,1000,3,0,40020.0,BP_05
36436,34216,826,1000,3,0,40080.0,BP_05
36696,31352,892,1000,3,0,40140.0,blankScreen_05
36796,31808,930,1000,3,0,40200.0,blankScreen_05
36796,31102,1000,1000,3,0,40260.0,blankScreen_05
36785,31016,999,1000,3,0,40320.0,BP_06
36736,32308,1143,1000,3,0,40380.0,BP_06
36736,31344,1207,1000,3,0,40440.0,
