ECG_CH2,TEMP_CH4,Freq,Channels,File,t,EDA_CH3,Task
33864,36400,1000,2,0,45600.0,,
31388,36340,1000,2,0,45660.0,,
34672,36156,1000,2,0,45720.0,,
34928,35892,1000,2,0,45780.0,,
27272,35968,1000,2,0,45840.0,,
31872,36080,1000,2,0,45900.0,,
31432,36048,1000,2,0,45960.0,,
33844,36280,1000,2,0,46020.0,,
32137,36120,1000,2,0,46080.0,,
31552,36584,1000,2,0,46140.0,,
30428,36272,1000,2,0,46200.0,,
37056,35888,1000,2,0,46260.0,,
30576,35912,1000,2,0,46320.0,,
31512,36276,1000,2,0,46380.0,,
30784,35892,1000,2,0,46440.0,,
32372,35800,1000,2,0,46500.0,,
34960,35988,1000,2,0,46560.0,,
23240,35816,1000,2,0,46620.0,,
32056,35912,1000,2,0,46680.0,,
31848,35672,1000,2,0,46740.0,,
31144,35604,1000,2,0,46800.0,,
31984,35612,1000,2,0,46860.0,,
36944,35708,1000,2,0,46920.0,,
64288,35888,1000,2,0,46980.0,,
30876,36076,1000,2,0,47040.0,,
32828,35784,1000,2,0,47100.0,,
31220,35712,1000,2,0,47160.0,,blankScreen_00
30088,35540,1000,2,0,47220.0,,blankScreen_00
32344,35492,1000,2,0,47280.0,,blankScreen_00
30428,35556,1000,2,0,47340.0,,BP_00
34704,35564,1000,2,0,47400.0,,BP_00
30664,35460,1000,2,0,47460.0,,
35952,35364,1000,2,0,47520.0,,
31296,35840,1000,2,0,47580.0,,
34116,35752,1000,2,0,47640.0,,
34316,36156,1000,2,0,47700.0,,Exposure
29260,35776,1000,2,0,47760.0,,Exposure
35860,35452,1000,2,0,47820.0,,passiveViewing_01
31560,35360,1000,2,0,47880.0,,passiveViewing_01
32156,35440,1000,2,0,47940.0,,passiveViewing_01
51472,35408,1000,2,0,48000.0,,passiveViewing_01
30944,35664,1000,2,0,48060.0,,passiveViewing_01
37076,35544,1000,2,0,48120.0,,passiveViewing_01
31972,35728,1000,2,0,48180.0,,passiveViewing_01
34524,35624,1000,2,0,48240.0,,passiveViewing_01
33768,35632,1000,2,0,48300.0,,passiveViewing_01
32148,35540,1000,2,0,48360.0,,passiveViewing_01
30348,35568,1000,2,0,48420.0,,passiveViewing_01
34016,35500,1000,2,0,48480.0,,passiveViewing_01
29836,35396,1000,2,0,48540.0,,passiveViewing_01
32384,35488,1000,2,0,48600.0,,passiveViewing_01
30784,35292,1000,2,0,48660.0,,passiveViewing_01
32200,35268,1000,2,0,48720.0,,
32324,35300,1000,2,0,48780.0,,blankScreen_01
33912,35244,1000,2,0,48840.0,,blankScreen_01
37540,35444,1000,2,0,48900.0,,blankScreen_01
32048,35500,1000,2,0,48960.0,,BP_01
29920,35528,1000,2,0,49020.0,,
31304,35388,1000,2,0,49080.0,,
