TEMP_CH1,ECG_CH2,Freq,Channels,File,t,Task
31230,33000,1000,2,0,34200.0,
33294,30176,1000,2,0,34260.0,
30964,32260,1000,2,0,34320.0,
29892,29900,1000,2,0,34380.0,
29616,32116,1000,2,0,34440.0,
29474,30072,1000,2,0,34500.0,
29396,29926,1000,2,0,34560.0,
29344,30192,1000,2,0,34620.0,
29450,30216,1000,2,0,34680.0,
30764,31742,1000,2,0,34740.0,
30370,33000,1000,2,0,34800.0,
29644,31044,1000,2,0,34860.0,
29434,34124,1000,2,0,34920.0,
29308,32336,1000,2,0,34980.0,
29268,45712,1000,2,0,35040.0,
29232,33248,1000,2,0,35100.0,
29220,36556,1000,2,0,35160.0,
29200,30384,1000,2,0,35220.0,
29196,33508,1000,2,0,35280.0,
29168,29380,1000,2,0,35340.0,
29112,32764,1000,2,0,35400.0,
29096,33568,1000,2,0,35460.0,
29080,53788,1000,2,0,35520.0,
29092,34756,1000,2,0,35580.0,
29100,29968,1000,2,0,35640.0,
29072,33684,1000,2,0,35700.0,
30864,34812,1000,2,0,35760.0,
31246,33056,1000,2,0,35820.0,
30788,35808,1000,2,0,35880.0,
30136,33420,1000,2,0,35940.0,
29888,34132,1000,2,0,36000.0,
29792,56424,1000,2,0,36060.0,
29772,30176,1000,2,0,36120.0,
29756,30966,1000,2,0,36180.0,
29720,33220,1000,2,0,36240.0,
29744,31144,1000,2,0,36300.0,
29896,31888,1000,2,0,36360.0,
30052,33964,1000,2,0,36420.0,
29888,35016,1000,2,0,36480.0,
29548,31460,1000,2,0,36540.0,
29448,31916,1000,2,0,36600.0,
29440,33956,1000,2,0,36660.0,
29436,30064,1000,2,0,36720.0,
29360,31836,1000,2,0,36780.0,blankScreen_00
29280,30264,1000,2,0,36840.0,blankScreen_00
29256,34840,1000,2,0,36900.0,blankScreen_00
29224,31136,1000,2,0,36960.0,BP_00
29344,30576,1000,2,0,37020.0,BP_00
29496,33912,1000,2,0,37080.0,
29064,32032,1000,2,0,37140.0,
29004,32064,1000,2,0,37200.0,Exposure
28840,30044,1000,2,0,37260.0,Exposure
28794,29984,1000,2,0,37320.0,Exposure
28832,33244,1000,2,0,37380.0,passiveViewing_01
28880,33984,1000,2,0,37440.0,passiveViewing_01
28892,30820,1000,2,0,37500.0,passiveViewing_01
28820,33406,1000,2,0,37560.0,passiveViewing_01
28848,31476,1000,2,0,37620.0,passiveViewing_01
28824,32916,1000,2,0,37680.0,passiveViewing_01
28884,32112,1000,2,0,37740.0,passiveViewing_01
