TEMP_CH2,ECG_CH3,EDA_CH4,Freq,Channels,File,t,Task
29696,33008,1051,1000,3,0,44580.0,
30664,32380,1007,1000,3,0,44640.0,
30688,32416,946,1000,3,0,44700.0,
30688,34592,907,1000,3,0,44760.0,
31176,34460,904,1000,3,0,44820.0,
31220,32636,894,1000,3,0,44880.0,
31176,31532,896,1000,3,0,44940.0,
31924,32124,874,1000,3,0,45000.0,
32417,34334,877,1000,3,0,45060.0,
32437,33000,884,1000,3,0,45120.0,
31812,34044,853,1000,3,0,45180.0,
31668,34120,850,1000,3,0,45240.0,
31681,32932,831,1000,3,0,45300.0,
31632,32212,832,1000,3,0,45360.0,
30148,32316,830,1000,3,0,45420.0,
33249,34165,832,1000,3,0,45480.0,
33976,31340,836,1000,3,0,45540.0,
33360,32960,833,1000,3,0,45600.0,
31506,33642,821,1000,3,0,45660.0,
31053,32556,813,1000,3,0,45720.0,
31528,13112,807,1000,3,0,45780.0,
34148,20620,808,1000,3,0,45840.0,
34400,32540,821,1000,3,0,45900.0,
34452,34044,868,1000,3,0,45960.0,
34500,33076,811,1000,3,0,46020.0,
34432,34388,821,1000,3,0,46080.0,
34400,18216,830,1000,3,0,46140.0,
34476,32588,815,1000,3,0,46200.0,
34102,32572,839,1000,3,0,46260.0,
34092,34996,889,1000,3,0,46320.0,
34108,25656,825,1000,3,0,46380.0,
33380,32008,813,1000,3,0,46440.0,
34056,32608,839,1000,3,0,46500.0,
34568,31872,849,1000,3,0,46560.0,
31544,32504,841,1000,3,0,46620.0,
34032,34844,884,1000,3,0,46680.0,
34512,34976,1487,1000,3,0,46740.0,
34016,32372,2315,1000,3,0,46800.0,
33752,34976,2402,1000,3,0,46860.0,
34132,47720,1961,1000,3,0,46920.0,
34356,31384,2020,1000,3,0,46980.0,
34442,30988,1674,1000,3,0,47040.0,
34444,27520,1691,1000,3,0,47100.0,
34468,31022,1536,1000,3,0,47160.0,
34716,32488,1648,1000,3,0,47220.0,
33642,27948,2228,1000,3,0,47280.0,
29080,33817,1806,1000,3,0,47340.0,
28476,33496,2275,1000,3,0,47400.0,
28844,34790,1978,1000,3,0,47460.0,blankScreen_00
29232,32758,2272,1000,3,0,47520.0,blankScreen_00
29228,31892,2443,1000,3,0,47580.0,blankScreen_00
29108,32600,2448,1000,3,0,47640.0,BP_00
30448,30736,2806,1000,3,0,47700.0,
31142,33356,2764,1000,3,0,47760.0,
33504,34624,3231,1000,3,0,47820.0,
34544,33092,3141,1000,3,0,47880.0,
34572,32452,3020,1000,3,0,47940.0,
33960,42032,3256,1000,3,0,48000.0,
33324,32616,2987,1000,3,0,48060.0,Exposure
34408,32502,3083,1000,3,0,48120.0,Exposure
34232,34940,2868,1000,3,0,48180.0,Exposure
34368,34568,2411,1000,3,0,48240.0,Exposure
34494,35284,2753,1000,3,0,48300.0,passiveViewing_01
34388,49008,2350,1000,3,0,48360.0,passiveViewing_01
34582,29864,2102,1000,3,0,48420.0,passiveViewing_01
34508,32446,2436,1000,3,0,48480.0,passiveViewing_01
34400,34257,2304,1000,3,0,48540.0,passiveViewing_01
34548,35148,2118,1000,3,0,48600.0,passiveViewing_01
34532,34048,2024,1000,3,0,48660.0,passiveViewing_01
34680,36392,1884,1000,3,0,48720.0,passiveViewing_01
34852,34556,1819,1000,3,0,48780.0,passiveViewing_01
34720,32464,1689,1000,3,0,48840.0,passiveViewing_01
34528,50416,1609,1000,3,0,48900.0,passiveViewing_01
34407,38732,1750,1000,3,0,48960.0,passiveViewing_01
34388,35220,1828,1000,3,0,49020.0,passiveViewing_01
34488,17072,1831,1000,3,0,49080.0,passiveViewing_01
34576,42196,1896,1000,3,0,49140.0,passiveViewing_01
34616,33244,1780,1000,3,0,49200.0,passiveViewing_01
34352,31576,1799,1000,3,0,49260.0,passiveViewing_01
34272,34796,2375,1000,3,0,49320.0,blankScreen_01
34330,30360,2223,1000,3,0,49380.0,blankScreen_01
34420,32668,2070,1000,3,0,49440.0,blankScreen_01
34332,32080,2596,1000,3,0,49500.0,BP_01
34064,31904,2618,1000,3,0,49560.0,BP_01
33676,32532,3289,1000,3,0,49620.0,
33652,31972,3260,1000,3,0,49680.0,
33468,32752,2778,1000,3,0,49740.0,
33240,31876,2797,1000,3,0,49800.0,
33072,34588,3214,1000,3,0,49860.0,
32948,32152,2980,1000,3,0,49920.0,
32720,31500,2679,1000,3,0,49980.0,
32792,34940,2460,1000,3,0,50040.0,
32760,33800,3256,1000,3,0,50100.0,
33092,32396,3201,1000,3,0,50160.0,
32960,31180,3068,1000,3,0,50220.0,
32902,35208,3557,1000,3,0,50280.0,
33164,31540,3267,1000,3,0,50340.0,
32992,31032,3333,1000,3,0,50400.0,
33114,31076,3825,1000,3,0,50460.0,blankScreen_02
32956,35492,3088,1000,3,0,50520.0,blankScreen_02
33292,35396,3350,1000,3,0,50580.0,blankScreen_02
32820,31884,3333,1000,3,0,50640.0,BP_02
31064,32702,3694,1000,3,0,50700.0,BP_02
30490,32996,3361,1000,3,0,50760.0,
30072,31688,3298,1000,3,0,50820.0,
29960,31958,2707,1000,3,0,50880.0,
30384,33228,2343,1000,3,0,50940.0,
30500,37824,2107,1000,3,0,51000.0,
30700,34220,1918,1000,3,0,51060.0,
30678,32004,1789,1000,3,0,51120.0,
30904,33278,1918,1000,3,0,51180.0,
31048,32852,2204,1000,3,0,51240.0,
30356,33072,2934,1000,3,0,51300.0,
30656,33980,2985,1000,3,0,51360.0,
30512,32753,3021,1000,3,0,51420.0,
30520,32436,3460,1000,3,0,51480.0,
30528,32424,4088,1000,3,0,51540.0,
30536,32686,3487,1000,3,0,51600.0,
30506,32960,3454,1000,3,0,51660.0,
30500,34944,4019,1000,3,0,51720.0,
30608,32528,4080,1000,3,0,51780.0,
30669,32434,4982,1000,3,0,51840.0,
30674,32964,4135,1000,3,0,51900.0,
30424,34932,3780,1000,3,0,51960.0,
30302,32420,3881,1000,3,0,52020.0,blankScreen_03
30256,33066,4016,1000,3,0,52080.0,blankScreen_03
30181,34424,3785,1000,3,0,52140.0,blankScreen_03
30252,28952,4209,1000,3,0,52200.0,BP_03
30448,49824,4710,1000,3,0,52260.0,
31740,32120,4876,1000,3,0,52320.0,
32140,22518,4222,1000,3,0,52380.0,
32252,34677,4538,1000,3,0,52440.0,
32040,34912,4080,1000,3,0,52500.0,
31980,31636,4050,1000,3,0,52560.0,
32192,30273,4065,1000,3,0,52620.0,blankScreen_04
32180,32608,4024,1000,3,0,52680.0,blankScreen_04
32332,34884,3926,1000,3,0,52740.0,blankScreen_04
34344,30220,4253,1000,3,0,52800.0,BP_04
31216,32248,3948,1000,3,0,52860.0,BP_04
32356,34124,3994,1000,3,0,52920.0,
32576,32128,4760,1000,3,0,52980.0,
32354,31216,3786,1000,3,0,53040.0,
31838,30524,4553,1000,3,0,53100.0,Exercise
33656,33152,5087,1000,3,0,53160.0,Exercise
34428,33270,5168,1000,3,0,53220.0,Exercise
34544,25552,5284,1000,3,0,53280.0,Exercise
34628,31788,4068,1000,3,0,53340.0,Exercise
34256,19832,4868,1000,3,0,53400.0,BP_05
34128,30880,3660,1000,3,0,53460.0,
33626,39884,3182,1000,3,0,53520.0,blankScreen_05
34332,31184,2893,1000,3,0,53580.0,blankScreen_05
34224,38208,2672,1000,3,0,53640.0,blankScreen_05
33288,30844,2563,1000,3,0,53700.0,BP_06
34516,30686,2353,1000,3,0,53760.0,
34592,31076,2273,1000,3,0,53820.0,
34648,31756,2164,1000,3,0,53880.0,
34774,35744,2304,1000,3,0,53940.0,
35064,33146,2205,1000,3,0,54000.0,
34564,30452,2973,1000,3,0,54060.0,
34904,56808,2975,1000,3,0,54120.0,
35036,30188,3014,1000,3,0,54180.0,
