TEMP_CH1,ECG_CH2,Freq,Channels,File,t,Task
36890,32828,1000,2,0,30180.0,
36928,39948,1000,2,0,30240.0,
36860,33476,1000,2,0,30300.0,
36828,33112,1000,2,0,30360.0,
36846,33260,1000,2,0,30420.0,
36868,33056,1000,2,0,30480.0,
36848,31072,1000,2,0,30540.0,
36812,31588,1000,2,0,30600.0,
36824,32908,1000,2,0,30660.0,
36768,33148,1000,2,0,30720.0,
36892,33664,1000,2,0,30780.0,
36936,32050,1000,2,0,30840.0,
37064,33320,1000,2,0,30900.0,
37072,33318,1000,2,0,30960.0,
37104,32672,1000,2,0,31020.0,
37128,33338,1000,2,0,31080.0,
37148,32068,1000,2,0,31140.0,
37160,32392,1000,2,0,31200.0,
37236,32688,1000,2,0,31260.0,
37192,33352,1000,2,0,31320.0,
37204,32484,1000,2,0,31380.0,
37196,31652,1000,2,0,31440.0,
37196,22672,1000,2,0,31500.0,
37232,33604,1000,2,0,31560.0,
37240,32972,1000,2,0,31620.0,
37180,32184,1000,2,0,31680.0,
37120,32292,1000,2,0,31740.0,
37104,33332,1000,2,0,31800.0,
37162,32984,1000,2,0,31860.0,
37132,32372,1000,2,0,31920.0,
37184,33292,1000,2,0,31980.0,
37184,32972,1000,2,0,32040.0,
37128,32232,1000,2,0,32100.0,
37200,32738,1000,2,0,32160.0,
37078,33588,1000,2,0,32220.0,blankScreen_00
37024,33432,1000,2,0,32280.0,blankScreen_00
37036,32552,1000,2,0,32340.0,blankScreen_00
36908,32362,1000,2,0,32400.0,BP_00
36788,33312,1000,2,0,32460.0,BP_00
36612,32132,1000,2,0,32520.0,BP_00
36584,32196,1000,2,0,32580.0,
36660,30684,1000,2,0,32640.0,
36508,32812,1000,2,0,32700.0,Exposure
36628,34536,1000,2,0,32760.0,Exposure
36504,31936,1000,2,0,32820.0,passiveViewing_01
36504,33384,1000,2,0,32880.0,passiveViewing_01
36480,33064,1000,2,0,32940.0,passiveViewing_01
36458,32896,1000,2,0,33000.0,passiveViewing_01
36444,33024,1000,2,0,33060.0,passiveViewing_01
36460,32328,1000,2,0,33120.0,passiveViewing_01
36488,32268,1000,2,0,33180.0,passiveViewing_01
36472,32168,1000,2,0,33240.0,passiveViewing_01
36464,32456,1000,2,0,33300.0,passiveViewing_01
36436,31964,1000,2,0,33360.0,passiveViewing_01
36436,32628,1000,2,0,33420.0,passiveViewing_01
36424,31264,1000,2,0,33480.0,passiveViewing_01
36036,49512,1000,2,0,33540.0,passiveViewing_01
36088,38300,1000,2,0,33600.0,passiveViewing_01
34388,32940,1000,2,0,33660.0,passiveViewing_01
33484,33096,1000,2,0,33720.0,blankScreen_01
32168,32596,1000,2,0,33780.0,blankScreen_01
31772,32244,1000,2,0,33840.0,blankScreen_01
31404,33696,1000,2,0,33900.0,BP_01
33360,33032,1000,2,0,33960.0,BP_01
