TEMP_CH1,ECG_CH2,Freq,Channels,File,t,EDA_CH1,CUSTOM/0.5/1.0/V_CH2,CUSTOM/0.5/1.0/V_CH3,Task
33808.0,30868.0,1000,2,0,48420.0,,,,
33804.0,34668.0,1000,2,0,48480.0,,,,
33792.0,30660.0,1000,2,0,48540.0,,,,
33928.0,37300.0,1000,2,0,48600.0,,,,
33900.0,31916.0,1000,2,0,48660.0,,,,
33960.0,30732.0,1000,2,0,48720.0,,,,
33928.0,29508.0,1000,2,0,48780.0,,,,
33944.0,31360.0,1000,2,0,48840.0,,,,
33964.0,29668.0,1000,2,0,48900.0,,,,
33996.0,31384.0,1000,2,0,48960.0,,,,
33956.0,33312.0,1000,2,0,49020.0,,,,
33944.0,33944.0,1000,2,0,49080.0,,,,
33920.0,32484.0,1000,2,0,49140.0,,,,
33928.0,35056.0,1000,2,0,49200.0,,,,
33868.0,31116.0,1000,2,0,49260.0,,,,
33908.0,30116.0,1000,2,0,49320.0,,,,
33912.0,32128.0,1000,2,0,49380.0,,,,
33952.0,30622.0,1000,2,0,49440.0,,,,
33972.0,29660.0,1000,2,0,49500.0,,,,
34000.0,30036.0,1000,2,0,49560.0,,,,
34040.0,29464.0,1000,2,0,49620.0,,,,
33972.0,36948.0,1000,2,0,49680.0,,,,
33948.0,36720.0,1000,2,0,49740.0,,,,
33984.0,30020.0,1000,2,0,49800.0,,,,
34032.0,35316.0,1000,2,0,49860.0,,,,blankScreen_00
34064.0,32048.0,1000,2,0,49920.0,,,,blankScreen_00
34034.0,33224.0,1000,2,0,49980.0,,,,blankScreen_00
34048.0,28564.0,1000,2,0,50040.0,,,,BP_00
33932.0,32568.0,1000,2,0,50100.0,,,,BP_00
33912.0,29944.0,1000,2,0,50160.0,,,,
33956.0,35188.0,1000,2,0,50220.0,,,,
34048.0,30072.0,1000,2,0,50280.0,,,,
34084.0,32080.0,1000,2,0,50340.0,,,,
34044.0,29080.0,1000,2,0,50400.0,,,,Exposure
34012.0,31556.0,1000,2,0,50460.0,,,,Exposure
33976.0,31356.0,1000,2,0,50520.0,,,,passiveViewing_01
34008.0,31488.0,1000,2,0,50580.0,,,,passiveViewing_01
34076.0,36304.0,1000,2,0,50640.0,,,,passiveViewing_01
34080.0,30968.0,1000,2,0,50700.0,,,,passiveViewing_01
34080.0,33996.0,1000,2,0,50760.0,,,,passiveViewing_01
34068.0,33108.0,1000,2,0,50820.0,,,,passiveViewing_01
34060.0,29976.0,1000,2,0,50880.0,,,,passiveViewing_01
34068.0,30328.0,1000,2,0,50940.0,,,,passiveViewing_01
34120.0,32292.0,1000,2,0,51000.0,,,,passiveViewing_01
34032.0,30776.0,1000,2,0,51060.0,,,,passiveViewing_01
33992.0,35416.0,1000,2,0,51120.0,,,,passiveViewing_01
33952.0,31240.0,1000,2,0,51180.0,,,,passiveViewing_01
33992.0,32596.0,1000,2,0,51240.0,,,,passiveViewing_01
