TEMP_CH1,ECG_CH2,Freq,Channels,File,t,EDA_CH1,CUSTOM/0.5/1.0/V_CH2,CUSTOM/0.5/1.0/V_CH3,Task
34604.0,30364.0,1000,2,0,38520.0,,,,
34620.0,32384.0,1000,2,0,38580.0,,,,
34792.0,32832.0,1000,2,0,38640.0,,,,
34752.0,33700.0,1000,2,0,38700.0,,,,
34764.0,35340.0,1000,2,0,38760.0,,,,
34816.0,32352.0,1000,2,0,38820.0,,,,
34884.0,32320.0,1000,2,0,38880.0,,,,
34554.0,32934.0,1000,2,0,38940.0,,,,blankScreen_03
34496.0,31969.0,1000,2,0,39000.0,,,,blankScreen_03
34460.0,31916.0,1000,2,0,39060.0,,,,blankScreen_03
34656.0,31852.0,1000,2,0,39120.0,,,,BP_03
34954.0,31132.0,1000,2,0,39180.0,,,,
35088.0,31008.0,1000,2,0,39240.0,,,,
35120.0,32284.0,1000,2,0,39300.0,,,,
35160.0,30992.0,1000,2,0,39360.0,,,,
,,1000,3,1,39660.0,35245.0,32404.0,5979.0,blankScreen_04
,,1000,3,1,39720.0,35248.0,26868.0,6306.0,
,,1000,3,1,39780.0,35252.0,52004.0,8290.0,BP_04
,,1000,3,1,39840.0,35268.0,31272.0,9592.0,
,,1000,3,1,39900.0,35276.0,31893.0,9694.0,
,,1000,3,1,39960.0,35282.0,32520.0,9300.0,
,,1000,3,1,40020.0,35304.0,33696.0,10310.0,
,,1000,3,1,40080.0,35836.0,32132.0,12168.0,Exercise
,,1000,3,1,40140.0,35422.0,32244.0,14001.0,Exercise
,,1000,3,1,40200.0,35252.0,24840.0,15864.0,BP_05
,,1000,3,1,40260.0,35508.0,32161.0,14116.0,BP_05
,,1000,3,1,40320.0,35684.0,30756.0,14242.0,blankScreen_05
,,1000,3,1,40380.0,35716.0,37540.0,13844.0,blankScreen_05
,,1000,3,1,40440.0,35713.0,32709.0,13452.0,blankScreen_05
,,1000,3,1,40500.0,35688.0,33952.0,13656.0,BP_06
,,1000,3,1,40560.0,35676.0,33496.0,14990.0,
,,1000,3,1,40620.0,35668.0,30104.0,14710.0,
,,1000,3,1,40680.0,35690.0,30452.0,14478.0,
,,1000,3,1,40740.0,35680.0,31414.0,14610.0,
,,1000,3,1,40800.0,35736.0,36040.0,13136.0,
,,1000,3,1,40860.0,35732.0,34072.0,12790.0,
,,1000,3,1,40920.0,35436.0,32785.0,21.0,
