TEMP_CH1,ECG_CH2,EDA_CH3,Freq,Channels,File,t,Task
30508,30360,5299,1000,3,0,55500.0,Exercise
31368,29960,7130,1000,3,0,55560.0,Exercise
30848,32674,7900,1000,3,0,55620.0,Exercise
30784,36318,8473,1000,3,0,55680.0,Exercise
30954,31218,9817,1000,3,0,55740.0,Exercise
30332,33904,13884,1000,3,0,55800.0,Exercise
30566,34677,13539,1000,3,0,55860.0,Exercise
30344,38984,14234,1000,3,0,55920.0,Exercise
30318,29288,15597,1000,3,0,55980.0,Exercise
30912,26988,14958,1000,3,0,56040.0,Exercise
30852,29137,15990,1000,3,0,56100.0,Exercise
31216,21644,16016,1000,3,0,56160.0,BP_05
28804,34336,15284,1000,3,0,56220.0,BP_05
27680,35828,15368,1000,3,0,56280.0,blankScreen_05
27398,27472,13160,1000,3,0,56340.0,blankScreen_05
27247,29624,12449,1000,3,0,56400.0,blankScreen_05
28108,34006,13142,1000,3,0,56460.0,BP_06
27992,30180,13672,1000,3,0,56520.0,BP_06
27778,38876,13437,1000,3,0,56580.0,
27816,35330,13776,1000,3,0,56640.0,
28016,31836,13968,1000,3,0,56700.0,
28096,31216,14310,1000,3,0,56760.0,
28826,36644,15893,1000,3,0,56820.0,
31400,31308,17378,1000,3,0,56880.0,
31590,29534,17286,1000,3,0,56940.0,
