TEMP_CH1,ECG_CH2,Freq,Channels,File,t,EDA_CH3,Task
29280,32844,1000,2,0,44700.0,,
29260,32350,1000,2,0,44760.0,,
29604,31736,1000,2,0,44820.0,,
29404,32620,1000,2,0,44880.0,,
29302,35188,1000,2,0,44940.0,,
29204,29704,1000,2,0,45000.0,,
29134,32592,1000,2,0,45060.0,,
29118,35756,1000,2,0,45120.0,,
29060,31284,1000,2,0,45180.0,,
29056,33608,1000,2,0,45240.0,,
29032,32172,1000,2,0,45300.0,,
29028,32372,1000,2,0,45360.0,,
29032,30680,1000,2,0,45420.0,,
29024,32484,1000,2,0,45480.0,,
29032,32828,1000,2,0,45540.0,,
29028,32452,1000,2,0,45600.0,,
29160,34396,1000,2,0,45660.0,,
28580,35698,1000,2,0,45720.0,,
28400,32736,1000,2,0,45780.0,,
28300,30976,1000,2,0,45840.0,,
28256,30580,1000,2,0,45900.0,,
28240,31940,1000,2,0,45960.0,,
28360,32332,1000,2,0,46020.0,,
28356,32304,1000,2,0,46080.0,,
28364,32476,1000,2,0,46140.0,,
28412,32424,1000,2,0,46200.0,,blankScreen_00
28444,34440,1000,2,0,46260.0,,blankScreen_00
28468,31924,1000,2,0,46320.0,,blankScreen_00
28728,32336,1000,2,0,46380.0,,BP_00
28780,33908,1000,2,0,46440.0,,
28816,32648,1000,2,0,46500.0,,
28816,33020,1000,2,0,46560.0,,
28796,30528,1000,2,0,46620.0,,
28888,33668,1000,2,0,46680.0,,
28508,30224,1000,2,0,46740.0,,
28252,31700,1000,2,0,46800.0,,Exposure
28288,32124,1000,2,0,46860.0,,Exposure
28164,34888,1000,2,0,46920.0,,Exposure
28400,35704,1000,2,0,46980.0,,
27824,29808,1000,2,0,47040.0,,passiveViewing_01
27700,33838,1000,2,0,47100.0,,passiveViewing_01
27668,32684,1000,2,0,47160.0,,passiveViewing_01
27660,33460,1000,2,0,47220.0,,passiveViewing_01
27692,9448,1000,2,0,47280.0,,passiveViewing_01
27736,33032,1000,2,0,47340.0,,passiveViewing_01
27736,32900,1000,2,0,47400.0,,passiveViewing_01
27748,32032,1000,2,0,47460.0,,passiveViewing_01
27784,33152,1000,2,0,47520.0,,passiveViewing_01
27784,33640,1000,2,0,47580.0,,passiveViewing_01
27944,32304,1000,2,0,47640.0,,passiveViewing_01
27938,32844,1000,2,0,47700.0,,passiveViewing_01
27972,33456,1000,2,0,47760.0,,passiveViewing_01
27936,33008,1000,2,0,47820.0,,passiveViewing_01
27936,32496,1000,2,0,47880.0,,blankScreen_01
27936,32172,1000,2,0,47940.0,,blankScreen_01
27930,32124,1000,2,0,48000.0,,blankScreen_01
27952,31936,1000,2,0,48060.0,,BP_01
27970,32112,1000,2,0,48120.0,,BP_01
27992,33036,1000,2,0,48180.0,,
27938,33032,1000,2,0,48240.0,,
27913,32552,1000,2,0,48300.0,,
28264,32408,1000,2,0,48360.0,,
28476,32808,1000,2,0,48420.0,,
28464,31596,1000,2,0,48480.0,,
28528,33056,1000,2,0,48540.0,,
28568,33044,1000,2,0,48600.0,,
28738,31208,1000,2,0,48660.0,,
28736,32396,1000,2,0,48720.0,,
28732,32508,1000,2,0,48780.0,,
29028,32044,1000,2,0,48840.0,,
29140,32728,1000,2,0,48900.0,,
29156,32500,1000,2,0,48960.0,,
29148,30172,1000,2,0,49020.0,,
29010,30652,1000,2,0,49080.0,,blankScreen_02
28944,29948,1000,2,0,49140.0,,blankScreen_02
28908,32148,1000,2,0,49200.0,,blankScreen_02
28860,32936,1000,2,0,49260.0,,BP_02
28812,32938,1000,2,0,49320.0,,
28900,31340,1000,2,0,49380.0,,
28904,30496,1000,2,0,49440.0,,
28748,32542,1000,2,0,49500.0,,
28120,32844,1000,2,0,49560.0,,
27744,32680,1000,2,0,49620.0,,
28620,32404,1000,2,0,49680.0,,
29036,33824,1000,2,0,49740.0,,
29196,37832,1000,2,0,49800.0,,
29244,34372,1000,2,0,49860.0,,
29312,32292,1000,2,0,49920.0,,
29320,33104,1000,2,0,49980.0,,
27684,31932,1000,2,0,50040.0,,
27372,29700,1000,2,0,50100.0,,
27348,32776,1000,2,0,50160.0,,
27384,34968,1000,2,0,50220.0,,
27348,31736,1000,2,0,50280.0,,
27352,32482,1000,2,0,50340.0,,
27864,34284,1000,2,0,50400.0,,
27862,32092,1000,2,0,50460.0,,
27872,34132,1000,2,0,50520.0,,
27876,34652,1000,2,0,50580.0,,
27884,32500,1000,2,0,50640.0,,
27772,32760,1000,2,0,50700.0,,
27712,34980,1000,2,0,50760.0,,
27896,33160,1000,2,0,50820.0,,
