TEMP_CH1,ECG_CH2,Freq,Channels,File,t,Task
34076,31860,1000,2,1,51000.0,Exercise
33726,39054,1000,2,1,51060.0,Exercise
33798,29788,1000,2,1,51120.0,Exercise
33836,38476,1000,2,1,51180.0,Exercise
33276,45520,1000,2,1,51240.0,BP_05
33432,28582,1000,2,1,51300.0,BP_05
33376,32612,1000,2,1,51360.0,blankScreen_05
33352,31002,1000,2,1,51420.0,blankScreen_05
33360,33284,1000,2,1,51480.0,blankScreen_05
33396,32652,1000,2,1,51540.0,BP_06
33320,33664,1000,2,1,51600.0,
33304,33684,1000,2,1,51660.0,
33312,32548,1000,2,1,51720.0,
33310,31846,1000,2,1,51780.0,
33358,31628,1000,2,1,51840.0,
33412,32160,1000,2,1,51900.0,
