EDA_CH1,CUSTOM/0.5/1.0/V_CH2,CUSTOM/0.5/1.0/V_CH3,Freq,Channels,File,t,Task
34760,14690,2677,1000,3,0,33240.0,
34660,34100,2652,1000,3,0,33300.0,
34452,32746,2684,1000,3,0,33360.0,
34220,32744,2685,1000,3,0,33420.0,
34048,32804,2635,1000,3,0,33480.0,
33928,27998,2623,1000,3,0,33540.0,
33784,32780,2647,1000,3,0,33600.0,
34280,32784,2617,1000,3,0,33660.0,
34480,32836,2628,1000,3,0,33720.0,
34736,32888,2624,1000,3,0,33780.0,
34556,32176,2658,1000,3,0,33840.0,
34380,28346,3714,1000,3,0,33900.0,
34432,34992,5101,1000,3,0,33960.0,
34784,32062,5034,1000,3,0,34020.0,
34664,24868,8580,1000,3,0,34080.0,
34400,7093,12260,1000,3,0,34140.0,
33920,9703,13986,1000,3,0,34200.0,
33626,13384,12044,1000,3,0,34260.0,
33428,14748,10681,1000,3,0,34320.0,
33284,18690,9112,1000,3,0,34380.0,
33168,15248,7127,1000,3,0,34440.0,
33092,16958,7466,1000,3,0,34500.0,
33056,65535,6349,1000,3,0,34560.0,
33005,37096,7682,1000,3,0,34620.0,
33392,12078,7796,1000,3,0,34680.0,
33652,14330,5720,1000,3,0,34740.0,blankScreen_00
33480,32876,4789,1000,3,0,34800.0,blankScreen_00
33788,31000,4126,1000,3,0,34860.0,blankScreen_00
34034,32844,3762,1000,3,0,34920.0,
34540,32021,3624,1000,3,0,34980.0,BP_00
33216,36436,4995,1000,3,0,35040.0,
32936,7680,5994,1000,3,0,35100.0,
32748,33460,9158,1000,3,0,35160.0,
33364,32764,9167,1000,3,0,35220.0,
32741,8857,9902,1000,3,0,35280.0,
30484,65535,9860,1000,3,0,35340.0,
28496,32740,7540,1000,3,0,35400.0,Exposure
28096,53773,7340,1000,3,0,35460.0,Exposure
28028,45404,5836,1000,3,0,35520.0,Exposure
28677,32916,5949,1000,3,0,35580.0,passiveViewing_01
28740,32900,5057,1000,3,0,35640.0,passiveViewing_01
28748,32888,4375,1000,3,0,35700.0,passiveViewing_01
28724,32762,3973,1000,3,0,35760.0,passiveViewing_01
28666,20,3712,1000,3,0,35820.0,passiveViewing_01
28672,32828,3546,1000,3,0,35880.0,passiveViewing_01
28748,32840,3370,1000,3,0,35940.0,passiveViewing_01
28597,32928,3283,1000,3,0,36000.0,passiveViewing_01
28476,57673,3203,1000,3,0,36060.0,passiveViewing_01
28392,30276,3103,1000,3,0,36120.0,passiveViewing_01
28325,29,3055,1000,3,0,36180.0,passiveViewing_01
29100,46412,4580,1000,3,0,36240.0,passiveViewing_01
29250,32894,5534,1000,3,0,36300.0,passiveViewing_01
29312,32969,5077,1000,3,0,36360.0,passiveViewing_01
30480,21570,4677,1000,3,0,36420.0,passiveViewing_01
31416,22312,4620,1000,3,0,36480.0,passiveViewing_01
31584,65535,5674,1000,3,0,36540.0,blankScreen_01
32828,32928,7414,1000,3,0,36600.0,blankScreen_01
32765,50156,7261,1000,3,0,36660.0,blankScreen_01
33000,28524,6804,1000,3,0,36720.0,
32996,32828,6345,1000,3,0,36780.0,BP_01
33132,31225,6902,1000,3,0,36840.0,
33430,26500,7201,1000,3,0,36900.0,
33568,32856,6129,1000,3,0,36960.0,
33524,32728,6646,1000,3,0,37020.0,
33602,32792,5877,1000,3,0,37080.0,
33504,32792,5404,1000,3,0,37140.0,
33584,32800,5255,1000,3,0,37200.0,
33430,19,4987,1000,3,0,37260.0,
33124,41504,4883,1000,3,0,37320.0,
32824,32932,4557,1000,3,0,37380.0,
32504,34308,4341,1000,3,0,37440.0,
32536,14172,4276,1000,3,0,37500.0,
33781,32856,4482,1000,3,0,37560.0,
33996,32856,4348,1000,3,0,37620.0,
33916,63448,4258,1000,3,0,37680.0,blankScreen_02
34068,58192,5521,1000,3,0,37740.0,blankScreen_02
34297,30008,5236,1000,3,0,37800.0,blankScreen_02
34272,65535,4868,1000,3,0,37860.0,
34164,31397,5500,1000,3,0,37920.0,BP_02
34161,32812,6683,1000,3,0,37980.0,
33640,23,6121,1000,3,0,38040.0,
29984,31754,5944,1000,3,0,38100.0,
29216,32766,6743,1000,3,0,38160.0,
28884,32801,6223,1000,3,0,38220.0,
28748,32756,7625,1000,3,0,38280.0,
28028,44772,11159,1000,3,0,38340.0,
27480,32694,12264,1000,3,0,38400.0,
27352,32596,11640,1000,3,0,38460.0,
27268,32674,10669,1000,3,0,38520.0,
27208,30869,8810,1000,3,0,38580.0,
27160,32832,12009,1000,3,0,38640.0,
27120,32766,9513,1000,3,0,38700.0,
27096,26740,9093,1000,3,0,38760.0,
27052,27782,8484,1000,3,0,38820.0,
27024,43917,11228,1000,3,0,38880.0,
26996,32776,12804,1000,3,0,38940.0,
26966,32804,12565,1000,3,0,39000.0,
26952,28216,13156,1000,3,0,39060.0,blankScreen_03
26913,32850,10265,1000,3,0,39120.0,blankScreen_03
26894,32792,8443,1000,3,0,39180.0,blankScreen_03
26892,37536,12597,1000,3,0,39240.0,BP_03
26858,65535,12575,1000,3,0,39300.0,BP_03
37204,65535,12194,1000,3,0,39360.0,
37428,4882,11592,1000,3,0,39420.0,
36814,18825,14298,1000,3,0,39480.0,
36606,7348,14064,1000,3,0,39540.0,
36460,32820,15904,1000,3,0,39600.0,blankScreen_04
36440,32890,14356,1000,3,0,39660.0,blankScreen_04
36468,32672,12644,1000,3,0,39720.0,blankScreen_04
36420,15688,11036,1000,3,0,39780.0,BP_04
36248,36596,11232,1000,3,0,39840.0,BP_04
